study_id,title,D1,D2,D3,D4,D5,D6,overall,rule_trace
S130,Can Agents Run Relay Race with Strangers? Generalization of RL to Out-of-Distribution Trajectories,HIGH,UNCLEAR,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:high
S131,Diagnosing Generalization Failures from Representational Geometry Markers,UNCLEAR,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:unclear;D2:unclear;D3:na;D4:default;D5:high;D6:default
S132,Making Foresight Actionable: Repurposing Representation Alignment in World Action Models,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S133,Low-rank Orthogonal Subspace Intervention for Generalizable Face Forgery Detection,HIGH,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:default;D4:default;D5:high;D6:default
S134,Incorporating Surrogate Gradient Norm to Improve Offline Optimization Techniques,UNCLEAR,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:unclear;D2:unclear;D3:na;D4:default;D5:high;D6:default
S135,Temporal Representation Alignment: Successor Features Enable Emergent Compositionality in Robot Instruction Following,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:default
S136,DSL: Understanding and Improving Softmax Recommender Systems with Competition-Aware Scaling,HIGH,UNCLEAR,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:high
S137,VLA^2: Empowering Vision-Language-Action Models with an Agentic Framework for Unseen Concept Manipulation,HIGH,UNCLEAR,UNCLEAR,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:default;D4:high;D5:high;D6:default
S138,Navigating High Dimensional Concept Space with Metalearning,HIGH,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:default;D4:default;D5:high;D6:default
S139,Evaluating Reward Model Generalization via Pairwise Maximum Discrepancy Competitions,HIGH,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:default;D4:default;D5:high;D6:default
S140,FedSoup: Improving Generalization and Personalization in Federated Learning via Selective Model Interpolation,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S141,Neural Language of Thought Models,HIGH,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:default;D4:default;D5:high;D6:high
S142,GA-Field: Geometry-Aware Vehicle Aerodynamic Field Prediction,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S143,Robust OOD Graph Learning via Mean Constraints and Noise Reduction,UNCLEAR,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:unclear;D2:unclear;D3:na;D4:default;D5:high;D6:default
S144,Improving Latent Generalization Using Test-time Compute,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S145,Frequency Bias and OOD Generalization in Neural Operators under a Variable-Coefficient Wave Equation,HIGH,UNCLEAR,UNCLEAR,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:default;D4:high;D5:high;D6:default
S146,SynthDocBench: Controlled Benchmark for Long-Context Visual Document Understanding,HIGH,UNCLEAR,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:high
S147,TerraIncognita: A Dynamic Benchmark for Species Discovery Using Frontier Models,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S148,Predictable GRPO: A Closed-Form Model of Training Dynamics,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:default
S149,Can Large Reasoning Models do Analogical Reasoning under Perceptual Uncertainty?,HIGH,UNCLEAR,UNCLEAR,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:default;D4:high;D5:high;D6:default
S150,Compositional Generalization via Semantic Tagging,LOW,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:default;D2:unclear;D3:na;D4:default;D5:high;D6:default
S151,Systematic Generalization with Edge Transformers,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,LOW,HIGH,D1:unclear;D2:unclear;D3:default;D4:default;D5:high;D6:low
S152,Compositional Generalization from First Principles,UNCLEAR,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:unclear;D2:unclear;D3:na;D4:default;D5:high;D6:default
S153,Improving Compositional Generalization in Semantic Parsing,HIGH,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:default;D4:default;D5:high;D6:default
S154,A Survey on Compositional Generalization in Applications,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S155,Composition-Incremental Learning for Compositional Generalization,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S156,Toward Compositional Generalization in Object-Oriented World Modeling,HIGH,UNCLEAR,N/A,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:unclear;D6:default
S157,On Evaluating Multilingual Compositional Generalization with Translated Datasets,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S158,Learning Algebraic Recombination for Compositional Generalization,UNCLEAR,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:unclear;D2:unclear;D3:na;D4:default;D5:high;D6:default
S159,Scalable Evaluation and Neural Models for Compositional Generalization,UNCLEAR,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:unclear;D2:unclear;D3:na;D4:default;D5:high;D6:default
S160,Improving Compositional Generalization in Math Word Problem Solving,HIGH,UNCLEAR,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:high
S161,Improving Compositional Generalization in Classification Tasks via Structure Annotations,HIGH,UNCLEAR,UNCLEAR,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:default;D4:high;D5:high;D6:high
S162,Compositional Generalization with Tree Stack Memory Units,HIGH,UNCLEAR,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:high
S163,Reinforcement Learning for Compositional Generalization with Outcome-Level Optimization,HIGH,UNCLEAR,N/A,HIGH,HIGH,LOW,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:low
S164,Provable Compositional Generalization for Object-Centric Learning,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S165,A General Theory for Compositional Generalization,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S166,Disentangled Sequence to Sequence Learning for Compositional Generalization,UNCLEAR,UNCLEAR,N/A,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,D1:unclear;D2:unclear;D3:na;D4:default;D5:unclear;D6:default
S167,"Concepts, Properties and an Approach for Compositional Generalization",HIGH,UNCLEAR,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:high
S168,Consistency of Compositional Generalization across Multiple Levels,HIGH,UNCLEAR,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:high
S169,On Provable Length and Compositional Generalization,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S170,On Compositional Generalization of Neural Machine Translation,HIGH,LOW,UNCLEAR,HIGH,HIGH,HIGH,HIGH,D1:high;D2:default;D3:default;D4:high;D5:high;D6:high
S171,DiNeR: a Large Realistic Dataset for Evaluating Compositional Generalization,HIGH,UNCLEAR,UNCLEAR,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:default;D4:high;D5:high;D6:default
S172,The Mystery of Compositional Generalization in Graph-based Generative Commonsense Reasoning,HIGH,UNCLEAR,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:high
S173,Simple and effective data augmentation for compositional generalization,HIGH,UNCLEAR,N/A,HIGH,HIGH,LOW,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:low
S174,Unobserved Local Structures Make Compositional Generalization Hard,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S175,"Compositional Generalization Requires Linear, Orthogonal Representations in Vision Embedding Models",UNCLEAR,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:unclear;D2:unclear;D3:na;D4:default;D5:high;D6:default
S176,When and How Does CLIP Enable Domain and Compositional Generalization?,HIGH,HIGH,N/A,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,D1:high;D2:high;D3:na;D4:default;D5:unclear;D6:default
S177,When does compositional structure yield compositional generalization? A kernel theory,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S178,Syntax-Guided Transformers: Elevating Compositional Generalization and Grounding in Multimodal Environments,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,LOW,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:low
S179,Diverse Demonstrations Improve In-context Compositional Generalization,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S180,Exploring the Compositional Generalization in Context Dependent Text-to-SQL Parsing,HIGH,UNCLEAR,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:high
S181,Improving Compositional Generalization Using Iterated Learning and Simplicial Embeddings,HIGH,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:default;D4:default;D5:high;D6:high
S182,Towards Compositional Generalization of LLMs via Skill Taxonomy Guided Data Synthesis,HIGH,UNCLEAR,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:high
S183,Are Object-Centric Representations Better At Compositional Generalization?,HIGH,UNCLEAR,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:high
S184,A Short Survey of Systematic Generalization,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S185,Compositional Generalization for Multi-label Text Classification: A Data-Augmentation Approach,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S186,Exploring Continual Learning of Compositional Generalization in NLI,UNCLEAR,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:unclear;D2:unclear;D3:na;D4:default;D5:high;D6:default
S187,Layer-wise Representation Fusion for Compositional Generalization,UNCLEAR,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:unclear;D2:unclear;D3:na;D4:default;D5:high;D6:default
S188,Block-Operations: Using Modular Routing to Improve Compositional Generalization,HIGH,UNCLEAR,N/A,HIGH,HIGH,LOW,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:low
S189,Local Mechanisms of Compositional Generalization in Conditional Diffusion,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S190,A Theoretical Analysis of Compositional Generalization in Neural Networks: A Necessary and Sufficient Condition,UNCLEAR,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:unclear;D2:unclear;D3:na;D4:default;D5:high;D6:default
S191,The Role of Linguistic Priors in Measuring Compositional Generalization of Vision-Language Models,HIGH,UNCLEAR,UNCLEAR,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:default;D4:high;D5:high;D6:high
S192,Compositional Generalization and Natural Language Variation: Can a Semantic Parsing Approach Handle Both?,HIGH,UNCLEAR,N/A,HIGH,HIGH,LOW,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:low
S193,Enhancing Compositional Generalization via Compositional Feature Alignment,HIGH,UNCLEAR,UNCLEAR,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:default;D4:high;D5:high;D6:default
S194,Evaluating Morphological Compositional Generalization in Large Language Models,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S195,Evaluating the Impact of Model Scale for Compositional Generalization in Semantic Parsing,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S196,Real-World Compositional Generalization with Disentangled Sequence-to-Sequence Learning,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:default
S197,Improving Compositional Generalization with Latent Structure and Data Augmentation,HIGH,UNCLEAR,N/A,HIGH,HIGH,LOW,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:low
S198,Compositional Generalization in Image Captioning,HIGH,UNCLEAR,UNCLEAR,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:default;D4:high;D5:high;D6:high
S199,Can LLM find the green circle? Investigation and Human-guided tool manipulation for compositional generalization,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S200,Multi-Sourced Compositional Generalization in Visual Question Answering,HIGH,UNCLEAR,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:high
S201,Analyzing the Inner Workings of Transformers in Compositional Generalization,LOW,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,HIGH,HIGH,D1:default;D2:unclear;D3:default;D4:default;D5:high;D6:high
S202,Improving Systematic Generalization Through Modularity and Augmentation,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:high
S203,NeSyCoCo: A Neuro-Symbolic Concept Composer for Compositional Generalization,UNCLEAR,UNCLEAR,N/A,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,D1:unclear;D2:unclear;D3:na;D4:default;D5:unclear;D6:default
S204,Compositional Generalization via Forced Rendering of Disentangled Latents,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S205,ChatGPT as Data Augmentation for Compositional Generalization: A Case Study in Open Intent Detection,HIGH,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:default;D4:default;D5:high;D6:default
S206,The Impact of Depth on Compositional Generalization in Transformer Language Models,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,LOW,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:low
S207,Compositional Generalization Across Distributional Shifts with Sparse Tree Operations,HIGH,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,LOW,HIGH,D1:high;D2:unclear;D3:default;D4:default;D5:high;D6:low
S208,Compositional generalization through abstract representations in human and artificial neural networks,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S209,Systematic Generalization in Language Models Scales with Information Entropy,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:default
S210,How Modular Should Neural Module Networks Be for Systematic Generalization?,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:default
S211,Pretraining Frequency Predicts Compositional Generalization of CLIP on Real-World Tasks,HIGH,LOW,N/A,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,D1:high;D2:default;D3:na;D4:default;D5:unclear;D6:default
S212,SPOR: A Comprehensive and Practical Evaluation Method for Compositional Generalization in Data-to-Text Generation,UNCLEAR,UNCLEAR,N/A,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,D1:unclear;D2:unclear;D3:na;D4:default;D5:unclear;D6:default
S213,Neural-Symbolic Recursive Machine for Systematic Generalization,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,LOW,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:low
S214,An explainable transformer circuit for compositional generalization,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S215,Finding needles in a haystack: Sampling Structurally-diverse Training Sets from Synthetic Data for Compositional Generalization,HIGH,UNCLEAR,N/A,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:unclear;D6:default
S216,Revisiting Compositional Generalization Capability of Large Language Models Considering Instruction Following Ability,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S217,Differentiable Tree Operations Promote Compositional Generalization,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:default
S218,Factorization Regret mediates compositional generalization in latent space,HIGH,UNCLEAR,N/A,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:high
S219,Counterfactual Recipe Generation: Exploring Compositional Generalization in a Realistic Scenario,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S220,Swing-by Dynamics in Concept Learning and Compositional Generalization,HIGH,UNCLEAR,UNCLEAR,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:default;D4:high;D5:high;D6:default
S221,ExeDec: Execution Decomposition for Compositional Generalization in Neural Program Synthesis,HIGH,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,D1:high;D2:unclear;D3:default;D4:default;D5:unclear;D6:default
S222,Compositional Generalization for Data-to-Text Generation,UNCLEAR,UNCLEAR,N/A,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,D1:unclear;D2:unclear;D3:na;D4:default;D5:unclear;D6:default
S223,What Drives Compositional Generalization? The Importance of Continuous Training Objectives in Visual Generative Models,HIGH,UNCLEAR,N/A,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:unclear;D6:default
S224,Compositional Generalization with Grounded Language Models,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:default
S225,Scaling can lead to compositional generalization,UNCLEAR,LOW,N/A,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,D1:unclear;D2:default;D3:na;D4:default;D5:unclear;D6:default
S226,Sequential Compositional Generalization in Multimodal Models,HIGH,HIGH,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:high;D3:na;D4:default;D5:high;D6:default
S227,Learning to Compose Representations of Different Encoder Layers towards Improving Compositional Generalization,LOW,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:default;D2:unclear;D3:na;D4:default;D5:high;D6:default
S228,Systematic Generalization on gSCAN with Language Conditioned Embedding,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S229,On a Built-in Conflict between Deep Learning and Systematic Generalization,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S230,What Do You Need for Compositional Generalization in Diffusion Planning?,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S231,D3: Data Diversity Design for Systematic Generalization in Visual Question Answering,HIGH,UNCLEAR,N/A,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:unclear;D6:default
S232,RoboHiMan: A Hierarchical Evaluation Paradigm for Compositional Generalization in Long-Horizon Manipulation,UNCLEAR,UNCLEAR,N/A,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,D1:unclear;D2:unclear;D3:na;D4:default;D5:unclear;D6:default
S233,AGEL-Comp: A Neuro-Symbolic Framework for Compositional Generalization in Interactive Agents,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:default
S234,ViLPAct: A Benchmark for Compositional Generalization on Multimodal Human Activities,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S235,Policy Architectures for Compositional Generalization in Control,HIGH,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,D1:high;D2:unclear;D3:default;D4:default;D5:unclear;D6:default
S236,Transformer Module Networks for Systematic Generalization in Visual Question Answering,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:default
S237,Realistic Evaluation of Model Merging for Compositional Generalization,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S238,Learning Algebraic Representation for Systematic Generalization in Abstract Reasoning,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S239,From Reasoning Traces to Reusable Modules: Understanding Compositional Generalization in Language Model Reasoning,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:default
S240,Systematic Generalization: What Is Required and Can It Be Learned?,HIGH,UNCLEAR,N/A,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:unclear;D6:default
S241,Learning by Analogy: A Causal Framework for Composition Generalization,HIGH,UNCLEAR,N/A,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:unclear;D6:default
S242,Provably Efficient Causal Model-Based Reinforcement Learning for Systematic Generalization,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:default
S243,Compositional-ARC: Assessing Systematic Generalization in Abstract Spatial Reasoning,UNCLEAR,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:unclear;D2:unclear;D3:na;D4:default;D5:high;D6:default
S244,Impact of Pretraining Word Co-occurrence on Compositional Generalization in Multimodal Models,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S245,Systematic Generalization in Neural Networks-based Multivariate Time Series Forecasting Models,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:default
S246,Seen to Unseen: Exploring Compositional Generalization of Multi-Attribute Controllable Dialogue Generation,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:high
S247,Latent Compositional Representations Improve Systematic Generalization in Grounded Question Answering,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S248,Measuring Systematic Generalization in Neural Proof Generation with Transformers,HIGH,UNCLEAR,UNCLEAR,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:default;D4:high;D5:high;D6:default
S249,Systematic Generalization on gSCAN: What is Nearly Solved and What is Next?,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S250,COVR: A test-bed for Visually Grounded Compositional Generalization with real images,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S251,Revisit Systematic Generalization via Meaningful Learning,HIGH,UNCLEAR,N/A,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:unclear;D6:default
S252,ClassicLogic: A Knowledge-Driven Benchmark of Classic Puzzle Games for Evaluating Compositional Generalization,UNCLEAR,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:unclear;D2:unclear;D3:na;D4:default;D5:high;D6:default
S253,HICO-DET-SG and V-COCO-SG: New Data Splits for Evaluating the Systematic Generalization Performance of Human-Object Interaction Detection Models,HIGH,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:high;D6:default
S254,"InternVLA-A1.5: Unifying Understanding, Latent Foresight, and Action for Compositional Generalization",HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S255,Rule Extrapolation in Language Models: A Study of Compositional Generalization on OOD Prompts,UNCLEAR,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:unclear;D2:unclear;D3:na;D4:default;D5:high;D6:default
S256,Language Plays a Pivotal Role in the Object-Attribute Compositional Generalization of CLIP,HIGH,UNCLEAR,N/A,HIGH,HIGH,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:high;D5:high;D6:default
S257,The Devil is in the Detail: Simple Tricks Improve Systematic Generalization of Transformers,LOW,UNCLEAR,N/A,UNCLEAR,HIGH,UNCLEAR,HIGH,D1:default;D2:unclear;D3:na;D4:default;D5:high;D6:default
S258,Inductive Biases for Zero-shot Systematic Generalization in Language-informed Reinforcement Learning,HIGH,UNCLEAR,UNCLEAR,HIGH,HIGH,HIGH,HIGH,D1:high;D2:unclear;D3:default;D4:high;D5:high;D6:high
S259,Three approaches to facilitate DNN generalization to objects in out-of-distribution orientations and illuminations,HIGH,UNCLEAR,N/A,UNCLEAR,UNCLEAR,UNCLEAR,HIGH,D1:high;D2:unclear;D3:na;D4:default;D5:unclear;D6:default
