study_id,id,title,year,venue,architectures,benchmarks,seeds_runs
S160,P02_0878,Neural-Symbolic Recursive Machine for Systematic Generalization,2022,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; RL-agent,SCAN; COGS; CFQ; PCFG; CLOSURE; Math/MW; Vision,5
S161,P02_0879,An explainable transformer circuit for compositional generalization,2025,arXiv:primary,Transformer-family; RNN-family; CNN; MLP,SCAN; Math/MW,
S162,P02_0880,Finding needles in a haystack: Sampling Structurally-diverse Training Sets from Synthetic Data for Compositional Generalization,2021,arXiv:primary,Transformer-family; RNN-family,COGS; CFQ; Tabular,5
S163,P02_0881,Revisiting Compositional Generalization Capability of Large Language Models Considering Instruction Following Ability,2025,arXiv:primary,Transformer-family; RNN-family; GNN; RL-agent,SLOG; Math/MW,192
S164,P02_0882,Differentiable Tree Operations Promote Compositional Generalization,2023,arXiv:primary,Transformer-family; RNN-family; MLP,COGS; Math/MW,
S165,P02_0883,Factorization Regret mediates compositional generalization in latent space,2026,arXiv:primary,Transformer-family; RNN-family; MLP; RL-agent; Diffusion,Math/MW,
S166,P02_0884,Counterfactual Recipe Generation: Exploring Compositional Generalization in a Realistic Scenario,2022,arXiv:primary,Transformer-family; RNN-family,COGS; Math/MW; Vision; NLP-OOD,
S167,P02_0885,Swing-by Dynamics in Concept Learning and Compositional Generalization,2024,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; Diffusion,Math/MW; Vision; NLP-OOD,
S168,P02_0887,ExeDec: Execution Decomposition for Compositional Generalization in Neural Program Synthesis,2023,arXiv:primary,Transformer-family; RNN-family; MLP; GNN,SCAN; COGS; CLOSURE; Math/MW; Vision,
S169,P02_0888,Compositional Generalization for Data-to-Text Generation,2023,arXiv:primary,Transformer-family; RNN-family; MLP; GNN; RL-agent,none-detected,
S170,P02_0889,What Drives Compositional Generalization? The Importance of Continuous Training Objectives in Visual Generative Models,2025,arXiv:primary,Transformer-family; CNN; MLP; VAE/AE; Diffusion,Math/MW; Vision; NLP-OOD,
S171,P02_0890,Compositional Generalization with Grounded Language Models,2024,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; GNN,COGS; Math/MW; Tabular,
S172,P02_0891,Scaling can lead to compositional generalization,2025,arXiv:primary,Transformer-family; RNN-family; MLP; Diffusion,Math/MW; NLP-OOD,
S173,P02_0892,Sequential Compositional Generalization in Multimodal Models,2024,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; GNN,SCAN; COGS; CFQ; CLOSURE; Math/MW; Vision; NLP-OOD,3
S174,P02_0893,Learning to Compose Representations of Different Encoder Layers towards Improving Compositional Generalization,2023,arXiv:primary,Transformer-family; RNN-family; MLP,SCAN; CFQ,6
S175,P02_0894,Systematic Generalization on gSCAN with Language Conditioned Embedding,2020,arXiv:primary,Transformer-family; RNN-family; CNN; GNN; RL-agent,SCAN; gSCAN; Math/MW; Vision; NLP-OOD,
S176,P02_0895,On a Built-in Conflict between Deep Learning and Systematic Generalization,2022,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; RL-agent; VAE/AE; Diffusion,Math/MW; Vision; NLP-OOD,
S177,P02_0898,What Do You Need for Compositional Generalization in Diffusion Planning?,2025,arXiv:primary,Transformer-family; RNN-family; CNN; RL-agent; Diffusion,Vision; Robotics/RL,50
S178,P02_0899,D3: Data Diversity Design for Systematic Generalization in Visual Question Answering,2023,arXiv:primary,Transformer-family; RNN-family; CNN; GNN,CFQ; CLOSURE; Vision; NLP-OOD,
S179,P02_0900,RoboHiMan: A Hierarchical Evaluation Paradigm for Compositional Generalization in Long-Horizon Manipulation,2025,arXiv:primary,Transformer-family; Diffusion,Vision,
S180,P02_0901,AGEL-Comp: A Neuro-Symbolic Framework for Compositional Generalization in Interactive Agents,2026,arXiv:primary,Transformer-family; RL-agent,Math/MW; Vision; NLP-OOD,
S181,P02_0902,ViLPAct: A Benchmark for Compositional Generalization on Multimodal Human Activities,2022,arXiv:primary,Transformer-family,none-detected,
S182,P02_0903,Policy Architectures for Compositional Generalization in Control,2022,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; GNN; RL-agent,none-detected,5
S183,P02_0904,Transformer Module Networks for Systematic Generalization in Visual Question Answering,2022,arXiv:primary,Transformer-family; RNN-family; CNN,CFQ; CLOSURE; Vision,
S184,P02_0906,Realistic Evaluation of Model Merging for Compositional Generalization,2024,arXiv:primary,Transformer-family; MLP; GNN; Diffusion,NLU-bench,
S185,P02_0907,Learning Algebraic Representation for Systematic Generalization in Abstract Reasoning,2021,arXiv:primary,RNN-family; CNN; MLP; RL-agent; VAE/AE,COGS; CLOSURE; Math/MW; Vision; NLP-OOD,
S186,P02_0908,From Reasoning Traces to Reusable Modules: Understanding Compositional Generalization in Language Model Reasoning,2026,arXiv:primary,Transformer-family; GNN; RL-agent; VAE/AE,CLOSURE; Math/MW,
S187,P02_0909,Systematic Generalization: What Is Required and Can It Be Learned?,2018,arXiv:primary,Transformer-family; RNN-family; CNN,SCAN; Vision,5
S188,P02_0910,Learning by Analogy: A Causal Framework for Composition Generalization,2025,arXiv:primary,Transformer-family; VAE/AE; Diffusion,Vision,
S189,P02_0912,Provably Efficient Causal Model-Based Reinforcement Learning for Systematic Generalization,2022,arXiv:primary,Transformer-family; RL-agent,Math/MW; Tabular,
S190,P02_0913,Compositional-ARC: Assessing Systematic Generalization in Abstract Spatial Reasoning,2025,arXiv:primary,Transformer-family; RNN-family; MLP; RL-agent; VAE/AE,SCAN; COGS; CFQ; CLOSURE; Math/MW; NLP-OOD,25
S191,P02_0914,Impact of Pretraining Word Co-occurrence on Compositional Generalization in Multimodal Models,2025,arXiv:primary,Transformer-family; Diffusion,Math/MW; Vision; NLP-OOD,
S192,P02_0915,Systematic Generalization in Neural Networks-based Multivariate Time Series Forecasting Models,2021,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; GNN; RL-agent; VAE/AE,Math/MW; Vision,
S193,P02_0917,Seen to Unseen: Exploring Compositional Generalization of Multi-Attribute Controllable Dialogue Generation,2023,arXiv:primary,Transformer-family; MLP,Math/MW; Vision,
S194,P02_0919,Latent Compositional Representations Improve Systematic Generalization in Grounded Question Answering,2020,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; GNN; VAE/AE,SCAN; gSCAN; CLOSURE; Vision,
S195,P02_0921,Measuring Systematic Generalization in Neural Proof Generation with Transformers,2020,arXiv:primary,Transformer-family; RNN-family; MLP,SCAN; CFQ; CLOSURE; Vision,
S196,P02_0922,Systematic Generalization on gSCAN: What is Nearly Solved and What is Next?,2021,arXiv:primary,Transformer-family; RNN-family; CNN; GNN,SCAN; gSCAN; CLOSURE; Vision,5
S197,P02_0924,COVR: A test-bed for Visually Grounded Compositional Generalization with real images,2021,arXiv:primary,Transformer-family; RNN-family; CNN,COGS; CLOSURE; NLU-bench; Vision; NLP-OOD,
S198,P02_0926,Revisit Systematic Generalization via Meaningful Learning,2020,arXiv:primary,Transformer-family; RNN-family; CNN; MLP,SCAN; COGS; Math/MW,
S199,P02_0927,ClassicLogic: A Knowledge-Driven Benchmark of Classic Puzzle Games for Evaluating Compositional Generalization,2026,arXiv:primary,Transformer-family; RNN-family; RL-agent,SCAN; COGS; CFQ; gSCAN; Math/MW; Vision; OOD-CV,
S200,P02_0928,HICO-DET-SG and V-COCO-SG: New Data Splits for Evaluating the Systematic Generalization Performance of Human-Object Interaction Detection Models,2023,arXiv:primary,Transformer-family; RNN-family; CNN; MLP,COGS; CLOSURE; Vision; NLP-OOD,
S201,P02_0929,"InternVLA-A1.5: Unifying Understanding, Latent Foresight, and Action for Compositional Generalization",2026,arXiv:primary,Transformer-family; GNN; VAE/AE; Diffusion,Vision,
S202,P02_0930,Rule Extrapolation in Language Models: A Study of Compositional Generalization on OOD Prompts,2024,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; GNN; VAE/AE,PCFG; Math/MW,5
S203,P02_0931,Language Plays a Pivotal Role in the Object-Attribute Compositional Generalization of CLIP,2024,arXiv:primary,Transformer-family; CNN,Vision,
S204,P02_0932,The Devil is in the Detail: Simple Tricks Improve Systematic Generalization of Transformers,2021,arXiv:primary,Transformer-family; RNN-family; MLP,SCAN; COGS; CFQ; PCFG; CLOSURE; Math/MW; Vision,5
S205,P02_0933,Inductive Biases for Zero-shot Systematic Generalization in Language-informed Reinforcement Learning,2025,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; RL-agent,gSCAN,
S206,P02_0934,Three approaches to facilitate DNN generalization to objects in out-of-distribution orientations and illuminations,2021,arXiv:primary,CNN; MLP; VAE/AE,Vision; NLP-OOD,
S207,P02_0935,Siamese recurrent networks learn first-order logic reasoning and exhibit zero-shot compositional generalization,2019,arXiv:primary,Transformer-family; RNN-family; GNN,Math/MW,
S208,P02_0936,"A Minimalist Dataset for Systematic Generalization of Perception, Syntax, and Semantics",2021,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; GNN,SCAN; COGS; CFQ; gSCAN; PCFG; CLOSURE; Math/MW; Vision,5
S209,P02_0937,CLOSURE: Assessing Systematic Generalization of CLEVR Models,2019,arXiv:primary,Transformer-family; RNN-family; CNN; MLP,SCAN; CLOSURE; Math/MW; Vision; Tabular,10
S210,P02_0938,Towards Systematic Generalization for Power Grid Optimization Problems,2026,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; GNN; RL-agent,Math/MW,
S211,P02_0939,Understanding out-of-distribution accuracies through quantifying difficulty of test samples,2022,arXiv:primary,Transformer-family; CNN; MLP,Vision; NLP-OOD,10
S212,P02_0940,SyGNS: A Systematic Generalization Testbed Based on Natural Language Semantics,2021,arXiv:primary,Transformer-family; RNN-family; GNN,SCAN; COGS; CFQ; NLU-bench; NLP-OOD,3
S213,P02_0941,Challenges in Generalization in Open Domain Question Answering,2021,arXiv:primary,Transformer-family; RNN-family,SCAN,
S214,P02_0942,Scale Up Strategically: Learning Compositional Generalization via Bias-Aware Evaluation and Data Collection for Robotic Manipulation,2026,arXiv:primary,Transformer-family; RNN-family; RL-agent,NLP-OOD,
S215,P02_0945,Atomic-to-Compositional Generalization for Mobile Agents with A New Benchmark and Scheduling System,2025,arXiv:primary,Transformer-family; RNN-family; GNN; RL-agent,none-detected,20
S216,P02_0946,ATOM-Bench: A Real-World Benchmark for Atomic Skills and Compositional Generalization in Manipulation Policies,2026,arXiv:primary,RL-agent,Vision,
S217,P02_0947,Data Distributional Properties As Inductive Bias for Systematic Generalization,2025,arXiv:primary,Transformer-family; RNN-family; CNN; GNN; VAE/AE,COGS; gSCAN; Vision,3
S218,P02_0948,The Neural Data Router: Adaptive Control Flow in Transformers Improves Systematic Generalization,2021,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; GNN; RL-agent,SCAN; CLOSURE; Math/MW; Vision; NLP-OOD,
S219,P02_0949,Compositional Generalization from Learned Skills via CoT Training: A Theoretical and Structural Analysis for Reasoning,2025,arXiv:primary,Transformer-family; RNN-family; RL-agent; Diffusion,Math/MW; NLP-OOD,3
S220,P02_0951,Systematic Generalization and Emergent Structures in Transformers Trained on Structured Tasks,2022,arXiv:primary,Transformer-family; RNN-family; MLP; GNN; RL-agent,Math/MW,
S221,P02_0956,Mixture Data for Training Cannot Ensure Out-of-distribution Generalization,2023,arXiv:primary,Transformer-family; CNN; RL-agent; VAE/AE,Math/MW; Vision; OOD-CV; Tabular,10
S222,P02_0957,Low-Frequency Shortcuts in Texture-Driven Visual Learning,2026,arXiv:primary,Transformer-family; CNN,SCAN; Vision; NLP-OOD,4
S223,P02_0959,What makes Models Compositional? A Theoretical View: With Supplement,2024,arXiv:primary,Transformer-family; RNN-family; CNN; GNN,SCAN; COGS; CFQ; Math/MW,
S224,P02_0962,Robust Subtask Learning for Compositional Generalization,2023,arXiv:primary,Transformer-family; RL-agent; VAE/AE,none-detected,10
S225,P02_0964,Compositional Generalization in Spoken Language Understanding,2023,arXiv:primary,Transformer-family; RNN-family; GNN,gSCAN; Vision,5
S226,P02_0965,Causal Structural Hypothesis Testing and Data Generation Models,2022,arXiv:primary,MLP; GNN; VAE/AE,NLP-OOD; Tabular,
S227,P02_0967,Adversarial Reward Auditing for Active Detection and Mitigation of Reward Hacking,2026,arXiv:safety,Transformer-family; MLP; GNN; RL-agent,none-detected,3
S228,P02_1159,Probing the Probes: Methods and Metrics for Concept Alignment,2025,arXiv:safety,Transformer-family; CNN; VAE/AE,Math/MW; Vision; NLP-OOD; Tabular,
