removed_id,kept_id,normalized_title,removed_title,kept_title,removed_doi,kept_doi,removed_year,kept_year,removed_evidence,kept_evidence,reason
P792,P179,editable xai toward bidirectional humanai alignment with coeditable explanations of interpretable attributes,Editable XAI: Toward Bidirectional Human-AI Alignment with Co-Editable Explanations of Interpretable Attributes,Editable XAI: Toward Bidirectional Human-AI Alignment with Co-Editable Explanations of Interpretable Attributes,,10.1145/3772318.3791375,2026,2026,abstract,full-text,version pair: same study charted as preprint+published
P980,P237,helpful harmless honest sociotechnical limits of ai alignment and safety through reinforcement learning from human feedback,"Helpful, harmless, honest? Sociotechnical limits of AI alignment and safety through reinforcement learning from human fe","Helpful, harmless, honest? Sociotechnical limits of AI alignment and safety through Reinforcement Learning from Human Fe",,10.1007/s10676-025-09837-2,2025,2025,metadata,full-text,version pair: same study charted as preprint+published
P254,P404,the neglect of qualia and consciousness in ai alignment research,The neglect of qualia and consciousness in AI alignment research,The Neglect of Qualia and Consciousness in AI Alignment Research,10.1201/9781003565659-11,10.1007/978-3-031-98808-0_11,2025,2025,metadata,abstract,version pair: same study charted as preprint+published
P919,P264,axioms for ai alignment from human feedback,Axioms for AI Alignment from Human Feedback,Axioms for AI Alignment from Human Feedback,,10.1609/aaai.v39i27.35116,2024,2025,abstract,full-text,version pair: same study charted as preprint+published
P804,P295,exploring the impact of ai value alignment in collaborative ideation effects on perception ownership and output,"Exploring the Impact of AI Value Alignment in Collaborative Ideation: Effects on Perception, Ownership, and Output","Exploring the Impact of AI Value Alignment in Collaborative Ideation: Effects on Perception, Ownership, and Output",,10.1145/3613905.3650892,2024,2024,abstract,full-text,version pair: same study charted as preprint+published
P729,P309,normative conflicts and shallow ai alignment,Normative Conflicts and Shallow AI Alignment,Normative conflicts and shallow AI alignment,,10.1007/s11098-025-02347-3,2025,2025,abstract,full-text,version pair: same study charted as preprint+published
P703,P383,the ai alignment paradox,The AI Alignment Paradox,The AI Alignment Paradox,,10.1145/3705294,2024,2025,full-text,metadata,version pair: same study charted as preprint+published
P898,P392,goal alignment reanalyzing value alignment problems using humanaware ai,Goal Alignment: Re-analyzing Value Alignment Problems Using Human-Aware AI,Goal Alignment: Re-analyzing Value Alignment Problems Using Human-Aware AI,,10.1609/aaai.v38i9.28875,2023,2024,abstract,full-text,version pair: same study charted as preprint+published
P403,P632,value learning for valuealigned route choice modeling via inverse reinforcement learning,Value Learning for Value-Aligned Route Choice Modeling via Inverse Reinforcement Learning,Value Learning for Value-Aligned Route Choice Modeling via Inverse Reinforcement Learning,10.1007/978-3-031-85463-7_3,10.1007/978-3-031-85463-7,2025,2025,full-text,abstract,version pair: same study charted as preprint+published
P788,P418,userdriven value alignment understanding users perceptions and strategies for addressing biased and discriminatory statements in ai companions,User-Driven Value Alignment: Understanding Users' Perceptions and Strategies for Addressing Biased and Discriminatory St,User-Driven Value Alignment: Understanding Users' Perceptions and Strategies for Addressing Biased and Discriminatory St,,10.1145/3706598.3713477,2024,2025,abstract,full-text,version pair: same study charted as preprint+published
P774,P535,steps towards valuealigned systems,Steps Towards Value-Aligned Systems,Steps towards value-aligned systems,,10.1145/3375627.3375872,2020,2020,abstract,full-text,version pair: same study charted as preprint+published
P709,P538,ai alignment dialogues an interactive approach to ai alignment in support agents,AI Alignment Dialogues: An Interactive Approach to AI Alignment in Support Agents,AI Alignment Dialogues: An Interactive Approach to AI Alignment in Support Agents,,10.1145/3514094.3539531,2023,2022,abstract,full-text,version pair: same study charted as preprint+published
P767,P591,learning norms from stories a prior for value aligned agents,Learning Norms from Stories: A Prior for Value Aligned Agents,Learning norms from stories: A prior for value aligned agents,,10.1145/3375627.3375825,2019,2020,full-text,full-text,version pair: same study charted as preprint+published
P650,P944,modeling agi safety frameworks with causal influence diagrams,Modeling AGI Safety Frameworks with Causal Influence Diagrams,Modeling AGI safety frameworks with causal influence diagrams,,,2019,2019,abstract,abstract,version cluster (no DOI-bearing row)
P651,P862,sail into the headwind alignment via robust rewards and dynamic labels against reward hacking,Sail into the Headwind: Alignment via Robust Rewards and Dynamic Labels against Reward Hacking,SAIL INTO THE HEADWIND: ALIGNMENT VIA ROBUST REWARDS AND DYNAMIC LABELS AGAINST REWARD HACKING,,,2024,2025,full-text,abstract,version cluster (no DOI-bearing row)
P658,P871,the energy loss phenomenon in rlhf a new perspective on mitigating reward hacking,The Energy Loss Phenomenon in RLHF: A New Perspective on Mitigating Reward Hacking,The Energy Loss Phenomenon in RLHF: A New Perspective on Mitigating Reward Hacking,,,2025,2025,full-text,abstract,version cluster (no DOI-bearing row)
P668,P992,demonstrating specification gaming in reasoning models,Demonstrating specification gaming in reasoning models,Demonstrating specification gaming in reasoning models,,,2025,2025,full-text,metadata,version cluster (no DOI-bearing row)
P682,P873,mona myopic optimization with nonmyopic approval can mitigate multistep reward hacking,MONA: Myopic Optimization with Non-myopic Approval Can Mitigate Multi-step Reward Hacking,MONA: Myopic Optimization with Non-myopic Approval Can Mitigate Multi-step Reward Hacking,,,2025,2025,abstract,abstract,version cluster (no DOI-bearing row)
P688,P953,defining and characterizing reward hacking,Defining and Characterizing Reward Hacking,Defining and Characterizing Reward Hacking,,,2022,2022,full-text,abstract,version cluster (no DOI-bearing row)
P697,P926,on mesaoptimization in autoregressively trained transformers emergence and capability,On Mesa-Optimization in Autoregressively Trained Transformers: Emergence and Capability,On Mesa-Optimization in Autoregressively Trained Transformers: Emergence and Capability,,,2024,2024,abstract,abstract,version cluster (no DOI-bearing row)
P701,P891,feedback loops with language models drive incontext reward hacking,Feedback Loops With Language Models Drive In-Context Reward Hacking,Feedback Loops With Language Models Drive In-Context Reward Hacking,,,2024,2024,full-text,abstract,version cluster (no DOI-bearing row)
P704,P917,inform mitigating reward hacking in rlhf via informationtheoretic reward modeling,InfoRM: Mitigating Reward Hacking in RLHF via Information-Theoretic Reward Modeling,InfoRM: Mitigating Reward Hacking in RLHF via Information-Theoretic Reward Modeling,,,2024,2024,abstract,abstract,version cluster (no DOI-bearing row)
P712,P936,value alignment verification,Value Alignment Verification,Value Alignment Verification,,,2020,2021,abstract,abstract,version cluster (no DOI-bearing row)
P722,P960,ai alignment with changing and influenceable reward functions,AI Alignment with Changing and Influenceable Reward Functions,AI Alignment with Changing and Influenceable Reward Functions,,,2024,2024,full-text,abstract,version cluster (no DOI-bearing row)
P727,P875,strong preferences affect the robustness of preference models and value alignment,Strong Preferences Affect the Robustness of Preference Models and Value Alignment,STRONG PREFERENCES AFFECT THE ROBUSTNESS OF PREFERENCE MODELS AND VALUE ALIGNMENT,,,2024,2025,abstract,abstract,version cluster (no DOI-bearing row)
P733,P852,map multihumanvalue alignment palette,MAP: Multi-Human-Value Alignment Palette,MAP: MULTI-HUMAN-VALUE ALIGNMENT PALETTE,,,2024,2025,full-text,abstract,version cluster (no DOI-bearing row)
P753,P886,requisite variety in ethical utility functions for ai value alignment,Requisite Variety in Ethical Utility Functions for AI Value Alignment,Requisite variety in ethical utility functions for AI value alignment,,,2019,2019,full-text,abstract,version cluster (no DOI-bearing row)
P780,P907,the challenge of value alignment from fairer algorithms to ai safety,The Challenge of Value Alignment: from Fairer Algorithms to AI Safety,The challenge of value alignment: From Fairer algorithms to AI safety,,,2021,2021,full-text,metadata,version cluster (no DOI-bearing row)
