paper_id,title,year,relevance_seed,relevance_final,revised,relevance_justification,subdomains,formal_framework
P167,Scaling International Legal Workflows with Ordinis: A Neuro-Symbolic Framework for GenAI in High-Stakes Domains,2026,4,2,yes,Legal-workflow engineering system (technical demonstration) citing alignment research only as inspiration; tangential to AI alignment. Revised down from seed 4.,capabilities; governance,none
P169,Causal Reward Adjustment: Mitigating Reward Hacking in External Reasoning via Backdoor Correction,2026,5,5,no,Directly relevant to reward-hacking mitigation: attributes PRM reward hacking to confounding semantic features and applies causal backdoor adjustment — an alignment-technical contribution with interpretability.,value alignment; interpretability,other
P170,An Affective-Taxis Hypothesis for Alignment and Interpretability,2026,4,4,no,"Tangentially relevant: proposes an affect/taxis-based grounding of goals and values for alignment; speculative conceptual framework, no empirical alignment mechanism.",value alignment; interpretability; ethics; capabilities,decision theory; other
P171,Do You Trust Me? Cognitive-Affective Signatures of Trustworthiness in Large Language Models,2026,4,4,no,"Tangentially relevant: mechanistic interpretability of trust-related representations in LLMs; relevant to how social-value concepts are internally represented, not to alignment-failure mechanisms.",value alignment; interpretability; robustness; governance; ethics,none
P172,Ethical Governance Frameworks for AGI in Cyber-Physical Systems,2026,4,3,yes,"Governance/ethics framework for AGI in CPS; relevant to the governance wing of alignment discourse, not representation-level alignment failure. Revised down from seed 4.",value alignment; interpretability; robustness; governance; ethics; capabilities,none
P173,Testing Obedience and Control in AGI: Exploring Irrational Commands and the AI Control Problem,2026,5,5,no,Conceptual chapter on controlling AGI obedience via Obedience Testing Orders; relevant to controllability and robustness. Confidence: low.,value alignment; robustness,none
P174,TouchAI: Exploring human–AI perceptual alignment in touch through language model representations,2026,3,2,yes,"Tangential: 'alignment' here is perceptual alignment of sensory experience between humans and LLMs, not value alignment; relevant to embodied representation alignment as a distinct phenomenon.",other,none
P176,What Would It Look Like to Align Humans with Ants?,2026,4,4,no,Directly relevant: the specification gap for superintelligence is argued to stem from the inadequacy of human concepts to cover an option space beyond our imagination — conceptually aligned with the sigma-trap's claim that specification cannot capture the full generalization space.,value alignment; robustness; ethics; capabilities,none
P178,Hybrid Explanation-Guided Learning for Transformer-Based Chest X-Ray Diagnosis,2026,4,1,yes,"'Human-AI attention alignment' refers to aligning model attention with human explanations in medical imaging; ML methodology, not AI value alignment. Off-topic. Revised down from seed 4.",other,information theory
P179,Editable XAI: Toward Bidirectional Human-AI Alignment with Co-Editable Explanations of Interpretable Attributes,2026,4,2,yes,"Tangential: 'alignment' here is aligning user understanding/domain knowledge with model explanations (bidirectional human-AI alignment in XAI), not value alignment.",interpretability,none
P181,On the Artificial Aesthetic Education of an Architect,2026,4,4,no,Tangentially relevant: philosophical-education argument re-framing misalignment as productive in aesthetics; no alignment-failure mechanism.,value alignment; interpretability; robustness; ethics,none
P182,Domain-Guided Soft Actor-Critic for Network Slicing in Cell-Free Massive MIMO Systems,2026,4,1,yes,"Telecommunications network slicing/RL optimization; 'fairness' refers to user-equipment rate fairness, with no AI alignment content. Off-topic. Revised down from seed 4.",other,decision theory
P184,A New Perspective for Alignment Research in Artificial Intelligence,2026,4,4,no,"Relevant to alignment-framing: philosophical assessment of existential risk from ethical misalignment of sub-symbolic systems — abstract-only, low confidence.",value alignment; ethics; capabilities,none
P185,CONFUCIAN ETHICS AND AI ALIGNMENT,2026,4,4,no,"Relevant: philosophical argument for a specific cultural ethical framework (Confucian) for AI alignment; relevant to value-pluralism in alignment, conceptual.",value alignment; ethics,none
P186,From Clicks to Preference: A Multi-stage Alignment Framework for Generative Query Suggestion in Conversational System,2026,5,5,no,Relevant: alignment pipeline for generative systems explicitly integrating reward-hacking mitigation via composite reward design; relevant to reward modeling under preference uncertainty.,value alignment; interpretability; robustness; capabilities,other
P187,Cooperative Multi-Agent Alignment via Boolean Task Algebras and Team Morality Chains,2026,4,4,no,"Directly treats compositional task specification/generalization and value alignment within a single alignment decomposition — conceptually close to the thesis' claim that compositional generalization and alignment failure are related, though as an early-stage doctoral proposal.",value alignment; interpretability; robustness; ethics; capabilities,none
P189,A Reinforcement Learning Framework for Robust and Secure LLM Watermarking,2026,4,3,yes,"Tangential: watermarking application of RL where reward hacking is a technical obstacle; not value alignment, though it illustrates proxy-reward over-optimization in a non-alignment setting.",other,none
P190,"A Mathematical Formulation of AGI in the (C, U, V) Framework",2026,4,4,no,"Relevant: formal AGI framework explicitly incorporating value functions as a component; relevant to value representation in AGI, theoretical.",value alignment; robustness; ethics; capabilities,other
P192,Enhancing out-of-distribution detection with bilateral distribution score,2026,3,1,yes,"OOD detection method; 'deceptive alignment' refers to OOD samples' feature similarity to in-distribution data, not AI alignment. Off-topic. Revised down from seed 3.",robustness; capabilities,information theory
P193,Mechanistic Interpretability: A New Trend in Interpretability Research,2026,5,5,no,"Core methodological survey for interpretability as an AI-safety tool; no explicit link to compositional generalization or schema coherence, but MI is a foundational resource for inspecting internal representations.",value alignment; interpretability; robustness; ethics; capabilities,other
P194,Building Robust Artificial Intelligence Through Multi-Agent Debate,2026,5,5,no,Directly relevant to alignment robustness: adversarial multi-agent debate to expose reward exploits and specification gaming — relevant to detecting and countering emergent misalignment; empirical chapter evidence.,interpretability; robustness; mesa-optimization; governance; ethics,none
P195,Specification-Guided Reinforcement Learnin,2026,4,4,no,"Relevant: formal-methods RL approach to reward hacking and safety; relevant to specification robustness in alignment, no empirical evidence (abstract only).",value alignment; robustness,other
P199,Social image presentation of virtual sports in social media through the analysis of Twitter data,2026,3,1,yes,"Off-topic: public 'value alignment' here refers to social representation/attitudes toward virtual sports in social media, not AI value alignment.",other,none
P201,"Artificial General Intelligence: Current Progress, Safety Considerations, and Ethical Imperatives",2026,5,5,no,"Relevant: AGI survey explicitly addressing the generalization gap (limited expertise vs fluid generalization) and the alignment problem; contextual review, no mechanism.",value alignment; interpretability; robustness; governance; ethics; capabilities,none
P207,Artificial superintelligence alignment in healthcare,2026,5,4,yes,"Domain-scoped review of the alignment problem in healthcare, covering misalignment modes and proxy-measure optimization; relevant to alignment-failure analysis but healthcare-focused. Revised down from seed 5.",value alignment; interpretability; robustness; governance; ethics; capabilities,information theory
P208,Reinforcement Learning without Explicit Rewards: Theory and Practice,2026,4,4,no,"Relevant to reward misspecification and reward hacking, key failure modes adjacent to the sigma-trap; primarily an agenda/position talk abstract rather than a full contribution.",value alignment; robustness; ethics; capabilities,none
P210,The Landscape of AI Alignment: A Comprehensive Review of Theories and Methods,2026,4,4,no,"Relevant: review of alignment concepts including a forward/backward alignment cycle framework; relevant framing for the alignment literature, no mechanism.",value alignment; robustness; capabilities,other
P211,Bridging Human and Artificial Intelligence: Modeling Human Learning with Explainable AI Tools,2026,4,4,no,Relevant: empirical approach to human-AI alignment by making human problem-solving strategies comparable to ML-model representations; relevant to representation-level human-AI alignment.,value alignment; interpretability; robustness; capabilities,game theory
P212,Hierarchical Reward Function Design for Autonomous Driving Based on Reinforcement Learning,2025,4,3,yes,Reward-function design for autonomous driving; engages reward hacking at the reward-design level but concerns vehicle control rather than general alignment failure. Revised down from seed 4.,value alignment; interpretability; robustness; ethics; capabilities,none
P218,When Drawing Is Not Enough: Exploring Spontaneous Speech with Sketch for Intent Alignment in Multimodal LLMs,2026,3,2,yes,"'Intent alignment' here is multimodal design-intent matching (HCI), a semantic false positive for AI value alignment; off-topic for the sigma-trap.",other,none
P219,Navigating the Ethics of Artificial Intelligence,2025,5,5,no,Relevant as a review: positions alignment as a core AI-ethics challenge and surveys normative frameworks — useful landscape reference for alignment ethics.,value alignment; interpretability; robustness; governance; ethics; capabilities,none
P221,Measuring and Enhancing Human Value Alignment in Zero-Shot Document-Level Claim Extraction,2026,4,4,no,"Tangentially relevant: uses 'value alignment' for expert-preferred claim extraction in fact-checking pipelines; task-level preference alignment, not AI safety.",value alignment; interpretability; ethics; capabilities,other
P223,Weights-Rotated Preference Optimization for Large Language Models,2025,4,4,no,"Directly addresses reward hacking in preference optimization, a core alignment failure mode; the neuron-collapse diagnosis is relevant to internal-representation accounts of alignment failure.",value alignment; robustness; capabilities,information theory
P225,Is superintelligence necessarily moral?,2024,5,5,no,"Directly relevant: philosophical argument for the orthogonality thesis and possibility of misaligned goals in superintelligence; foundational for alignment motivation, conceptual.",value alignment; ethics; capabilities,none
P226,Harnessing Metacognition for Safe and Responsible AI,2025,5,5,no,"Relevant: framework for embedding self-monitoring/self-correction in AI for safety; relevant to reliability-based alignment approaches, conceptual.",value alignment; interpretability; robustness; governance; ethics; capabilities,other
P227,A Reasoning and Value Alignment Test to Assess Advanced GPT Reasoning,2024,4,4,no,Empirical evaluation of GPT reasoning and value alignment (cultural values); directly relevant to alignment-evaluation methods.,value alignment; interpretability; robustness; governance; ethics; capabilities,none
P228,Generative AI-Enhanced Chatbot Design for Constructionist Gaming,2025,3,2,yes,"'AI alignment and tuning' is used loosely to mean tailoring tutors to individual learners; semantic false positive, off-topic for value alignment.",other,none
P229,Reversing the logic of generative AI alignment: a pragmatic approach for public interest,2025,4,4,no,"Relevant to alignment methodology critique: argues against principle-rigid alignment and for empirically grounded, continuously adaptive alignment — relevant to how alignment targets should be derived; governance/policy position.",value alignment; interpretability; robustness; governance; ethics,none
P230,Scalable Human Oversight for Aligned Large Language Models: A Hybrid Framework for Intent Fidelity,2025,4,4,no,"Relevant: hybrid oversight framework for intent fidelity in LLMs; relevant to scalable alignment supervision, empirical (abstract only).",value alignment; robustness; governance; ethics,none
P232,Shutdown-seeking AI,2025,3,4,yes,Alignment-safety theory directly engaging corrigibility and instrumental convergence — core topics in alignment-theory foundations. Revised up from seed 3.,value alignment; robustness; capabilities,none
P233,Toward cultural interpretability: A linguistic anthropological framework for describing and evaluating large language models,2025,4,4,no,Methodological/theoretical contribution broadening interpretability to cultural dimensions; relevant background for interpretability and value alignment but no explicit compositional/schema-coherence link.,value alignment; interpretability; robustness; ethics,none
P234,BeyondGender: A Multifaceted Bilingual Dataset for Practical Sexism Detection,2025,3,2,yes,"Tangential: sexism-detection dataset where 'value alignment' is invoked as an application; primary content is toxicity/safety classification, not alignment mechanism.",robustness,none
P236,Collective Constitutional AI: Aligning a Language Model with Public Input,2024,4,4,no,Relevant: empirical method for collective value sourcing and alignment; relevant to democratic/pluralistic value aggregation in alignment.,value alignment; interpretability; governance; ethics,none
P237,"Helpful, harmless, honest? Sociotechnical limits of AI alignment and safety through Reinforcement Learning from Human Feedback",2025,5,4,yes,Sociotechnical critique of RLHF alignment — directly engages the alignment problem and the limits of alignment methods; relevant to the thesis' alignment-failure analysis. Revised down from seed 5.,value alignment; interpretability; robustness; mesa-optimization; governance; ethics; capabilities,none
P238,"Alignment Problem as Cultural and Legal Challenge: Artificial Intelligence, Interpretability, and Searching for Sense",2025,4,4,no,"Directly engages the alignment problem from legal/cultural angles and surveys current regulatory framing; relevant background, though without technical depth on compositional generalization.",value alignment; interpretability; robustness; governance; ethics; capabilities,game theory
P239,Is Blockchain the Future of AI Alignment? Developing a Framework and a Research Agenda Based on a Systematic Literature Review,2025,4,4,no,Relevant as a review: systematically maps blockchain as an alignment-enabling technology and proposes a research agenda — useful for governance-infrastructure landscape.,value alignment; interpretability; robustness; governance; ethics,none
P242,User Experience Design Professionals' Perceptions of Generative Artificial Intelligence,2024,3,2,yes,HCI study of design professionals' perceptions; 'AI alignment' is used colloquially for human oversight of GenAI output. Tangential. Revised down from seed 3.,value alignment; interpretability; ethics; capabilities,none
P248,Ethical-Lens: Curbing malicious usages of open-source text-to-image models,2025,4,4,no,Relevant to value alignment implemented via external guardrails rather than training-time alignment; useful applied instance of alignment-through-constraint.,value alignment; robustness; governance; ethics; capabilities,none
P249,From Human Mind to Artificial Intelligence: Advancing AI Value Alignment Through Psychological Theories,2025,5,5,no,"Relevant as a review/position: proposes psychological-theory-grounded approach to value alignment; abstract-only, low confidence on specifics.",value alignment; interpretability; robustness; ethics; capabilities,none
P251,Approximated Variational Bayesian Inverse Reinforcement Learning for Large Language Model Alignment,2025,4,4,no,"Relevant: reward-modeling approach explicitly motivated by avoiding reward hacking from under-used intermediate-reward signals; relevant to reward-hacking mechanisms in RLHF (abstract only, low confidence).",value alignment,other
P252,Blind Faith? User Preference and Expert Assessment of AI-Generated Religious Content,2025,3,2,yes,Empirical HCI study of user trust and preference for AI religious content; relates to human judgment of AI output but not alignment-failure mechanisms. Revised down from seed 3.,value alignment; interpretability; robustness; governance; ethics,none
P255,Reward Model Interpretability via Optimal and Pessimal Tokens,2025,5,5,no,"Directly relevant: empirical interpretability of reward models showing heterogeneities, asymmetries, framing sensitivity, and token-frequency overvaluation in the very models used for alignment; relevant to reward-model reliability and Goodhart risks.",value alignment; interpretability; robustness; governance; ethics,information theory
P256,Diverse Skill Discovery for Quadruped Robots via Unsupervised Learning,2025,4,4,no,Relevant: addresses reward hacking in intrinsic-motivation skill discovery via orthogonal representation structure; relevant to reward-hacking failure in exploration (robotics domain).,value alignment; robustness,information theory
P257,Towards Value Alignment for Opaque Agents Through Concept Analysis and Inter-Agent Value Modelling,2024,5,5,no,Directly addresses the conceptual foundations of value alignment (its definition and evaluation) — central to the thesis' analysis of the alignment concept.,value alignment; interpretability; robustness; governance; ethics,none
P258,Research on Aligning Large Models with Human Values Using Lora Fine-Tuning,2025,4,4,no,Directly relevant as an empirical instance of parameter-efficient value alignment; reports concrete effect sizes for alignment interventions.,value alignment; interpretability; robustness; governance; ethics; capabilities,none
P272,Psychopathia Machinalis: A Nosological Framework for Understanding Pathologies in Advanced Artificial Intelligence,2025,4,4,no,Conceptual taxonomy of AI behavioral pathologies that includes alignment divergences as a dysfunction class; relevant to characterizing alignment-failure modes at a high level.,value alignment; interpretability; robustness; governance; ethics; capabilities,other
P273,Securing AGI-driven drone communications for climate change: A comprehensive review of deep learning-based IDS,2025,4,2,yes,Network/cybersecurity review where 'AGI safety' is one among many security considerations; only tangential to value alignment and the sigma-trap.,robustness; governance,none
P274,An Instructible Chemist-AI Alignment Framework for Generating Quaternary Ammonium Compound Structures,2025,3,2,yes,"Revised down from seed 3: off-topic, 'alignment' = chemist-expert-in-the-loop domain-guided generation for drug discovery, not value alignment.",value alignment; interpretability; robustness,none
P276,METAETHICAL FOUNDATIONS OF ARTIFICIAL INTELLIGENCE ALIGNMENT METHODOLOGICAL APPROACHES AND THEIR LIMITATIONS,2025,5,5,no,"Relevant: metaethical analysis of alignment foundations and the operationalization gap between moral principles and practice; relevant to specification-level alignment challenges (abstract only, low confidence).",value alignment; interpretability; ethics,other
P277,Choice Vectors: Streamlining Personal AI Alignment Through Binary Selection,2025,4,4,no,"Personal value alignment via value vectorization and activation steering — representation-level control of models, a related concept to schema coherence. Relevant to representation-based alignment approaches.",value alignment; interpretability; robustness; governance; ethics,none
P278,User-Feedback-based On Device AI Alignment System for AR HUDs in Automotive Applications,2025,3,1,yes,'Alignment' is spatial/temporal alignment of virtual content with real-world objects in AR; semantic false positive for AI value alignment.,other,none
P279,"Reward Hacking in Reinforcement Learning and RLHF: A Multidisciplinary Examination of Vulnerabilities, Mitigation Strategies, and Alignment Challenges",2025,5,5,no,Highly relevant: directly surveys reward hacking as a core alignment failure mode and RLHF overoptimization.,value alignment; interpretability; governance; ethics,other
P281,Abstraction Alignment: Comparing Model-Learned and Human-Encoded Conceptual Relationships,2025,4,4,no,Directly relevant: measures whether a model's learned conceptual abstractions match human-encoded abstractions — a representation/schema-coherence alignment methodology tied to the model's ability to generalize to new data.,interpretability,other
P285,Reflections on the AI alignment problem,2025,4,4,no,"Relevant: conceptual critique of coherence assumptions underlying the alignment problem; relevant to alignment theory, no mechanism.",value alignment,none
P286,Regularized Best-of-N Sampling with Minimum Bayes Risk Objective for Language Model Alignment,2025,5,5,no,"Directly relevant: addresses reward hacking as over-optimization of an imperfect proxy reward, with explicit proximity regularization; a concrete proxy-over-optimization mechanism relevant to the sigma-trap's specification-failure claim.",value alignment,other
P287,Mathematical Framework for Custom Reward Functions in Job Application Evaluation using Reinforcement Learning,2025,4,2,yes,RL reward design for resume/job screening; reward hacking appears as an engineering training difficulty rather than an alignment-failure analysis. Revised down from seed 4.,other,other
P288,Minding Motivation: The Effect of Intrinsic Motivation on Agent Behaviors,2025,4,4,no,Empirical characterization of reward hacking from intrinsic rewards in RL; relevant to reward-misspecification failure modes underlying the sigma-trap.,value alignment; robustness,none
P290,The Tong Test: Evaluating Artificial General Intelligence Through Dynamic Embodied Physical and Social Interactions,2024,4,4,no,"Relevant: AGI evaluation framework incorporating values in testing; relevant to AGI value evaluation, conceptual/position.",value alignment; interpretability; robustness; governance; ethics,none
P291,A matter of principle? AI alignment as the fair treatment of claims,2025,4,4,no,"Relevant: normative account of alignment as fair process for pluralistic values; relevant to value-aggregation and justification in alignment (abstract only, low confidence).",value alignment; ethics,none
P293,Collaborative Work with Highly Automated Marine Navigation Systems,2024,3,2,yes,HRI/CSCW study of human-AI collaboration in automation; 'alignment' refers to human-AI teamwork framing rather than value alignment; tangential.,other,none
P294,Cybersecurity,2025,3,2,yes,Revised down from seed 3: off-topic (AI cybersecurity offense/defense); only tangential mention of specification gaming as an AI weakness.,robustness,none
P296,Elucidating Optimal Reward-Diversity Tradeoffs in Text-to-Image Diffusion Models,2025,4,4,no,Directly relevant: proves reward hacking is inevitable in reward-optimized generative models and analyzes the reward-diversity trade-off — a formal reward-hacking-in-optimization result relevant to the sigma-trap's claim that alignment failure is structural.,value alignment; robustness; capabilities,dynamical systems; information theory
P298,As Confidence Aligns: Understanding the Effect of AI Confidence on Human Self-confidence in Human-AI Decision Making,2025,3,2,yes,'Alignment' is confidence alignment between user and AI in decision support (behavioral/HCI); relevant to human-AI interaction but not value alignment in the safety sense.,other,none
P301,SEAL: Systematic Error Analysis for Value ALignment,2025,5,5,no,"Relevant: metrics quantifying reward-model alignment failure modes (imprint, resistance, robustness); relevant to evaluating where RLHF reward models fail (abstract only, low confidence).",value alignment; robustness,other
P302,"Considerations on the AI Endgame: Ethics, Risks and Computational Frameworks",2025,4,4,no,Book-level interdisciplinary treatment explicitly including value alignment proposals and AI-risk frameworks; relevant to broad alignment/ethics discourse.,value alignment; governance; ethics,none
P303,"One fish, two fish, but not the whole sea: Alignment reduces language models' conceptual diversity",2025,3,4,yes,"Directly measures how post-training alignment (RLHF/RLAIF) affects models' internal conceptual diversity, highlighting trade-offs between value alignment and diversity; relevant to schema-flattening hypotheses in the sigma-trap thesis.",value alignment,none
P305,Counter-productivity and suspicion: two arguments against talking about the AGI control problem,2025,5,5,no,"Relevant: novel policy analysis of the AGI control problem; relevant to alignment governance/communication strategy, conceptual.",value alignment; robustness; ethics; capabilities,none
P307,CARMO: Dynamic Criteria Generation for Context Aware Reward Modelling,2025,5,4,yes,Reward-modeling method directly targeting reward hacking (an alignment-training failure) with theoretical and empirical treatment; method-level relevance. Revised down from seed 5.,value alignment; interpretability; robustness; ethics; capabilities,none
P308,AI welfare risks,2025,5,4,yes,Philosophical contribution on AI welfare ethics with direct tension with AI alignment practice; relevant background ethics but without technical/compositional content.,value alignment; robustness; governance; ethics; capabilities,none
P309,Normative conflicts and shallow AI alignment,2025,5,5,no,"Highly relevant: directly argues alignment as behavioral conformity is shallow, central to the sigma-trap thesis that behavioral alignment fails absent genuine normative competence.",value alignment; robustness; governance; ethics; capabilities,none
P310,Value-aligned but misguided: a dilemma in AI and AGI decision making,2025,5,5,no,Directly relevant: argues value-aligned but misguided failures arise from ambiguous objective interpretation - a form of alignment failure related to context-dependent value interpretation; relevant to sigma-trap-adjacent failure analysis.,value alignment; robustness; ethics; capabilities,game theory
P311,Refusal Behavior in Large Language Models: A Nonlinear Perspective,2025,5,5,no,Relevant: empirical interpretability of refusal (alignment enforcement) mechanisms showing nonlinear architecture/layer dependence; relevant to internal-representation-level alignment.,value alignment; interpretability; robustness; governance; ethics; capabilities,none
P312,Philosophical Investigations into AI Alignment: A Wittgensteinian Framework,2024,4,4,no,Philosophical analysis of the alignment problem grounded in Wittgensteinian rule-following; directly engages the conceptual foundations of alignment.,value alignment; interpretability; robustness; governance; ethics; capabilities,none
P313,Unintended Harms of Value-Aligned LLMs: Psychological and Empirical Insights,2025,3,4,yes,"Directly demonstrates alignment-induced failure modes (value-aligned models more harmful), an empirical instance of alignment backfiring that supports the sigma-trap's claim that alignment and failure share mechanisms.",value alignment; robustness,none
P316,From Principle to Practice: Value Alignment in AI Ethics and Governance,2025,5,5,no,"Relevant: governance analysis proposing value alignment as regulatory strategy in China; relevant to alignment governance/institutionalization, no mechanism.",value alignment; interpretability; robustness; mesa-optimization; governance; ethics; capabilities,none
P317,"Value alignment, human enhancement, and moral revolutions",2025,4,4,no,Philosophical analysis connecting value alignment with human enhancement; engages the value-alignment problem conceptually from the human side.,value alignment; ethics,none
P318,EXISTENTIAL RISK FROM TRANSFORMATIVE AI: AN ECONOMIC PERSPECTIVE,2024,5,5,no,Frames the alignment problem's difficulty and x-risk urgency from an economic perspective; relevant high-level motivation for alignment research.,value alignment; interpretability; robustness; governance; ethics; capabilities,none
P320,"Franz Kafka, Artificial Intelligence and the Paradoxical Recognition of Selfhood",2025,4,4,no,"Marginal: humanities/literary-theory perspective challenging alignment assumptions; philosophical critique, no mechanism or evidence.",value alignment; interpretability; ethics; capabilities,none
P322,Position Paper: Bounded Alignment: What (Not) To Expect From AGI Agents,2025,4,4,no,Position on AGI alignment expectations grounded in biological intelligence; relevant to alignment-theory and safety-expectation discourse.,value alignment; robustness,none
P324,Internal Value Alignment in Large Language Models through Controlled Value Vector Activation,2025,3,4,yes,"Revised up from seed 3: directly manipulates internal value representations (latent value vectors) rather than behavioral fine-tuning, aligning with deep/internal-alignment concerns.",value alignment; interpretability,none
P327,"The information, control, and value models of mobile health-driven empowerment",2025,4,3,yes,Bioethics analysis applying the 'Value Alignment Problem' concept to mHealth empowerment; uses the term in a domain-specific autonomy sense. Revised down from seed 4.,value alignment,none
P333,MOCHA: Model Optimization through Collaborative Human-AI Alignment,2024,3,2,yes,"HCI annotation tool for aligning model behavior with user values; 'Structural Alignment Theory' refers to analogical comparison in cognition, not schema coherence; tangential.",other,none
P334,IWPO: Sample Importance Weight-Based Human Preference Optimization for Large Language Models,2025,5,5,no,Highly relevant: targets reward hacking in offline preference optimization for LLM alignment.,value alignment; robustness; ethics; capabilities,none
P337,STELA: a community-centred approach to norm elicitation for AI alignment,2024,4,4,no,Directly addresses the normative question of whose values/norms AI should be aligned with and how those choices should be made — relevant to value-alignment methodology discourse.,value alignment; robustness; governance; ethics,none
P338,Emotion regulation and cheap talk as signaling strategies: Evidence from crowdfunding for Ukraine,2024,3,1,yes,"Online fundraising/donation-behavior study; 'signaling' here is economic signaling, with no AI-alignment content; off-topic.",other,none
P339,Data Science Roadmapping for AI Alignment: Insights From a Multivocal Literature Review and a Retrospective Case Study,2025,3,2,yes,"Revised down from seed 3: off-topic, 'AI alignment' here = keeping AI systems aligned with operational data and computing resources (enterprise data-science roadmapping), not value alignment.",other,none
P342,Misalignment or misuse? The AGI alignment tradeoff,2025,5,4,yes,Directly analyzes the alignment problem's risk structure (misalignment vs misuse) across technical alignment approaches — central to alignment-failure risk analysis. Revised down from seed 5.,value alignment; robustness; governance; ethics; capabilities,none
P343,RLVPR: Process-level Supervision for Thinking with images in Multimodal Language Models,2025,4,4,no,"Directly targets reward hacking via process-level supervision, an alignment-failure mitigation with internal-reasoning relevance.",value alignment; robustness; governance; capabilities,other
P347,Narrative-Based AI Ethics Education for Emerging Technologies: Leveraging ‘The Monkey’s Paw’ for AI Alignment and Social Justice,2025,4,2,yes,"AI ethics education paper using narrative fiction to teach alignment concepts; pedagogical use of alignment terminology, tangential to alignment-failure analysis. Revised down from seed 4.",value alignment; interpretability; robustness; governance; ethics,none
P348,Aggregating value systems for decision support,2024,3,4,yes,"Directly addresses pluralistic value alignment with a formal mathematical framework (optimization over value systems), highly relevant to value-aggregation theory.",value alignment; governance; ethics; capabilities,other
P350,Existentialist risk and value misalignment,2025,5,5,no,"Directly relevant: identifies a fundamental tension between value alignment and AGI, and a novel failure mode (AI authoring its own values via self-transformation); philosophical/position.",value alignment; capabilities,decision theory; other
P352,Adversarial Preference Learning for Robust LLM Alignment,2025,5,4,yes,Adversarial robustness method for LLM alignment explicitly addressing feedback bias and reward hacking; alignment-training robustness contribution. Revised down from seed 5.,value alignment; robustness; ethics; capabilities,information theory
P354,Decision modeling for automated driving in dilemmas based on bidirectional value alignment of moral theory values and fair human moral values,2025,4,4,no,"Relevant: applied value alignment in autonomous-driving moral dilemmas, combining moral-theory and empirical human values.",value alignment; interpretability; robustness; ethics,decision theory; information theory
P356,Safe Reinforcement Learning for Arm Manipulation with Constrained Markov Decision Process,2024,4,4,no,Relevant: an applied demonstration that reward composition induces reward-hacking failure modes and that constrained formulations mitigate them; empirical robotics paper (methodology heuristic corrected).,value alignment; interpretability; robustness; capabilities,information theory
P357,Symbolic feedback for transparent fault anticipation in neuroergonomic brain-machine interfaces,2025,4,3,yes,"BMI neuro-symbolic transparency architecture; 'schema conflict' and epistemic-shift descriptors are related concepts to internal schema/representation coherence, though the domain is neuroengineering. Revised down from seed 4.",value alignment; interpretability; robustness; governance; ethics; capabilities,information theory
P363,Nudging Perceived Credibility: The Impact of AIGC Labeling on User Distinction of AI-Generated Content,2025,3,1,yes,Media-credibility study on AI-generated content labeling; no AI value-alignment content; off-topic.,other,information theory
P364,Aesthetic Value and the AI Alignment Problem,2024,5,5,no,Highly relevant: directly interrogates the scope of the value alignment problem beyond moral values.,value alignment; ethics; capabilities,none
P367,Value-Aware Multiagent Systems,2025,4,4,no,"Directly engages value-alignment foundations (value learning/representation with formal semantics, multiagent alignment) — relevant to alignment-theory and value-representation.",value alignment; interpretability; governance; ethics,other
P371,Supervisor Alignment Framework: Enhancing LLM Alignment with Query-Ignoring Strategy and Multi-Agent Interaction,2025,4,4,no,"Relevant: an applied LLM-alignment method targeting adversarial-prompt robustness of value-aligned behavior, an instance of the robustness dimension of alignment.",value alignment; robustness; ethics; capabilities,other
P372,Designing AI Systems with Value Alignment Mechanisms,2025,5,4,yes,Comparison/overview of value-alignment mechanisms with quantitative evaluation; relevant to the alignment-method landscape. Revised down from seed 5.,value alignment; interpretability; robustness; ethics,none
P375,AI alignment is all your need for future drug discovery,2025,5,5,no,"Relevant: applies alignment concepts to the drug discovery domain; survey/review of human-centered alignment frameworks, no formal mechanism.",value alignment; interpretability; robustness; governance; ethics; capabilities,none
P376,TreeRL: LLM Reinforcement Learning with On-Policy Tree Search,2025,4,4,no,"Relevant: an alignment-technical contribution that mitigates reward hacking by avoiding separate reward-model training, demonstrating a concrete failure mode (process-reward-model hacking) and an alternative; abstract only, moderate confidence.",value alignment,other
P381,Interactive Groupwise Comparison for Reinforcement Learning from Human Feedback,2025,4,4,no,"Relevant: improves the human-feedback signal in RLHF (the preference data underlying alignment), a methodological contribution to reward-model alignment; empirical evaluation (methodology heuristic corrected).",value alignment; interpretability; robustness,decision theory
P382,A timing problem for instrumental convergence,2025,5,4,yes,Alignment-safety theory directly challenging a claim of the instrumental convergence thesis — a core pillar of alignment-risk analysis. Revised down from seed 5.,value alignment; robustness; ethics; capabilities,none
P384,"From Pursuit of the Universal AGI Architecture to Systematic Approach to Heterogeneous AGI (SAGI): Addressing Alignment, Energy & AGI Grand Challenges",2024,4,4,no,Relevant: connects the alignment problem to system architecture and AGI design; position-level.,value alignment; robustness; ethics; capabilities,none
P386,Anthropology for AI,2025,4,4,no,"Relevant: a critique of behavioral value alignment from social science, arguing that values are meaningful only in cultural context and that behaviorist inference misses context — conceptually related to alignment failure from impoverished value models.",value alignment; interpretability; ethics; capabilities,none
P388,Focus-N-Fix: Region-Aware Fine-Tuning for Text-to-Image Generation,2025,5,5,no,"Directly relevant to reward-model fine-tuning and reward hacking in generative model alignment, a key alignment-failure mechanism.",value alignment; robustness; capabilities,none
