study_id,pdf_file,method,confidence
P299,Artificial Intimacy: Exploring Normativity and Personalization Through Fine-tuning LLM Chatbots.pdf,filename-title,high
P304,Synthesizing Images on Perceptual Boundaries of ANNs for Uncovering Human Perceptual Variability on Facial Expressions.pdf,filename-title,high
P305,Counter-productivity and suspicion: two arguments against talking about the AGI control problem.pdf,filename-title,high
P306,"Bias, machine learning, and conceptual engineering.pdf",filename-title,high
P307,CARMO: Dynamic Criteria Generation for Context Aware Reward Modelling.pdf,filename-title,high
P308,AI welfare risks.pdf,filename-title,high
P309,Normative conflicts and shallow AI alignment.pdf,filename-title,high
P310,Value-aligned but misguided: a dilemma in AI and AGI decision making.pdf,filename-title,high
P311,Refusal Behavior in Large Language Models: A Nonlinear Perspective.pdf,filename-title,high
P312,Philosophical Investigations into AI Alignment: A Wittgensteinian Framework.pdf,filename-title,high
P315,CROSS-ARCHITECTURE UNIVERSAL FEATURE CODING VIA DISTRIBUTION ALIGNMENT.pdf,filename-title,high
P316,From Principle to Practice: Value Alignment in AI Ethics and Governance.pdf,filename-title,high
P318,EXISTENTIAL RISK FROM TRANSFORMATIVE AI: AN ECONOMIC PERSPECTIVE.pdf,filename-title,high
P319,"Position: Prospective of Autonomous Driving - Multimodal LLMs, World Models, Embodied Intelligence, AI Alignment, and Mamba.pdf",filename-title,high
P320,"Franz Kafka, Artificial Intelligence and the Paradoxical Recognition of Selfhood.pdf",filename-title,high
P321,Can Large Language Models Grasp Abstract Visual Concepts in Videos? A Case Study on YouTube Shorts about Depression.pdf,filename-title,high
P323,Explanation Alignment: Quantifying the Correctness of Model Reasoning at Scale.pdf,filename-title,high
P325,Using Human-Aware AI as a Framework to Achieve Intent Alignment.pdf,filename-title,high
P326,"Trust, trustworthiness and AI governance.pdf",filename-title,high
P328,Autonomous Weapons Systems and the ai Alignment Problem.pdf,filename-title,high
P329,Computational Frameworks for Human Care.pdf,filename-title,high
P330,"Toward robust, interactive, and human-aligned AI systems.pdf",filename-title,high
P332,Advancing Safe Language Generation: Exploring Alternative Constrained RLHF.pdf,filename-title,high
P333,MOCHA: Model Optimization through Collaborative Human-AI Alignment.pdf,filename-title,high
P334,IWPO: Sample Importance Weight-Based Human Preference Optimization for Large Language Models.pdf,filename-title,high
P335,Developing Effective and Value-Aligned AI Tools for Journalists: 12 Critical Questions to Reflect upon.pdf,filename-title,high
P336,The Moral Psychology of Artificial Intelligence.pdf,filename-title,high
P337,STELA: a community-centred approach to norm elicitation for AI alignment.pdf,filename-title,high
P338,Emotion regulation and cheap talk as signaling strategies: Evidence from crowdfunding for Ukraine.pdf,filename-title,high
P339,Data Science Roadmapping for AI Alignment: Insights From a Multivocal Literature Review and a Retrospective Case Study.pdf,filename-title,high
P342,Misalignment or misuse? The AGI alignment tradeoff.pdf,filename-title,high
P343,RLVPR: Process-level Supervision for Thinking with images in Multimodal Language Models.pdf,filename-title,high
P345,Electronic Fuji and Artificial Intelligence Creation: How is the Study of Machine Poetics Possible?.pdf,filename-title,high
P346,Analyzing values about gendered language reform in LLMs' revisions.pdf,filename-title,high
P347,Narrative-Based AI Ethics Education for Emerging Technologies: Leveraging 'The Monkey's Paw' for AI Alignment and Social Justice.pdf,filename-title,high
P348,Aggregating value systems for decision support.pdf,filename-title,high
P350,Existentialist risk and value misalignment.pdf,filename-title,high
P351,Conversational Alignment With Artificial Intelligence in Context.pdf,filename-title,high
P352,Adversarial Preference Learning for Robust LLM Alignment.pdf,filename-title,high
P353,"The Impact of Artificial Intelligence on Public Sector Decision-Making: Benefits, Challenges, and Policy Implications.pdf",filename-title,high
P354,Decision modeling for automated driving in dilemmas based on bidirectional value alignment of moral theory values and fair human moral values.pdf,filename-title,high
P355,Feeling Textiles through AI: An Exploration into Multimodal Language Models and Human Perception Alignment.pdf,filename-title,high
P356,Safe Reinforcement Learning for Arm Manipulation with Constrained Markov Decision Process.pdf,filename-title,high
P357,Symbolic feedback for transparent fault anticipation in neuroergonomic brain-machine interfaces.pdf,filename-title,high
P359,YinYang-Align: A new Benchmark for Competing Objectives and Introducing Multi-Objective Preference based Text-to-Image Alignment.pdf,filename-title,high
P361,Bridging the Integrity Gap: Towards AI-assisted Design Research.pdf,filename-title,high
P362,A Roadmap for Alignable Algorithmic Decision-Makers in the Medical Triage Domain.pdf,filename-title,high
P363,Nudging Perceived Credibility: The Impact of AIGC Labeling on User Distinction of AI-Generated Content.pdf,filename-title,high
P364,Aesthetic Value and the AI Alignment Problem.pdf,filename-title,high
P365,Trust in Aligned AI Decision Makers.pdf,filename-title,high
P366,Can AI Model the Complexities of Human Moral Decision-making? A Qualitative Study of Kidney Allocation Decisions.pdf,filename-title,high
P367,Value-Aware Multiagent Systems.pdf,filename-title,high
P369,Potential for near-term AI risks to evolve into existential threats in healthcare.pdf,filename-title,high
P370,Are We Aligned? A Preliminary Investigation of the Alignment of Responsible AI Values between LLMs and Human Judgment.pdf,filename-title,high
P371,Supervisor Alignment Framework: Enhancing LLM Alignment with Query-Ignoring Strategy and Multi-Agent Interaction.pdf,filename-title,high
P372,Designing AI Systems with Value Alignment Mechanisms.pdf,filename-title,high
P373,Immune: Improving Safety Against Jailbreaks in Multi-modal LLMs via Inference-Time Alignment.pdf,filename-title,high
P375,AI alignment is all your need for future drug discovery.pdf,filename-title,high
P377,C3AI: Crafting and Evaluating Constitutions for Constitutional AI.pdf,filename-title,high
P378,Enhancing Control of Large Language Model-based AI Systems Through Declarative Memory.pdf,filename-title,high
P379,Beyond Words: Exploring Cultural Value Sensitivity in Multimodal Models.pdf,filename-title,high
P380,OpenFedLLM: Training Large Language Models on Decentralized Private Data via Federated Learning.pdf,filename-title,high
P381,Interactive Groupwise Comparison for Reinforcement Learning from Human Feedback.pdf,filename-title,high
P382,A timing problem for instrumental convergence.pdf,filename-title,high
P384,"From Pursuit of the Universal AGI Architecture to Systematic Approach to Heterogeneous AGI (SAGI): Addressing Alignment, Energy & AGI Grand Challenges.pdf",filename-title,high
P385,Ethical Logic in Six Large Language Models.pdf,filename-title,high
P386,Anthropology for AI.pdf,filename-title,high
P388,Focus-N-Fix: Region-Aware Fine-Tuning for Text-to-Image Generation.pdf,filename-title,high
P389,"Predictive hermeneutics: bias, culture, and the predictive mind.pdf",filename-title,high
P392,Goal Alignment: Re-analyzing Value Alignment Problems Using Human-Aware AI.pdf,filename-title,high
P393,Uncovering Contradictions in Human-AI Interactions: Lessons Learned from User Reviews of Replika.pdf,filename-title,high
P394,Addressing Reward Hacking in Autonomous Navigation using a Soft Actor Critic approach.pdf,filename-title,high
P395,Committing to the wrong artificial delegate in a collective-risk dilemma is better than directly committing mistakes.pdf,filename-title,high
P396,A Robot Walks into a Bar: Can Language Models Serve as Creativity SupportTools for Comedy? An Evaluation of LLMs' Humour Alignment with Comedians.pdf,filename-title,high
P397,The shutdown problem: an AI engineering puzzle for decision theorists.pdf,filename-title,high
P398,Sycophancy in Large Language Models: Causes and Mitigations.pdf,filename-title,high
P399,Personalized Constitutionally-Aligned Agentic Superego: Secure AI Behavior Aligned to Diverse Human Values.pdf,filename-title,high
P400,"Adaptable robots, ethics, and trust: a qualitative and philosophical exploration of the individual experience of trustworthy AI.pdf",filename-title,high
P401,The Elephant in the Room: Why AI Safety Demands Diverse Teams.pdf,filename-title,high
P402,An Evolutionary Perspective on AI Alignment (Student Abstract).pdf,filename-title,high
P403,Value Learning for Value-Aligned Route Choice Modeling via Inverse Reinforcement Learning.pdf,filename-title,high
P405,Responsible Development of Offensive AI.pdf,filename-title,high
P409,HicAgent: Hierarchical iterative cooperative learning reward generation guided by a large model.pdf,filename-title,high
P410,A Phase-Based Ethical Alignment Framework for Mitigating In-Context Scheming Behaviour in Superintelligent Systems.pdf,filename-title,high
P411,“Provably fair” algorithms may perpetuate racial and gender bias: a study of salary dispute resolution.pdf,filename-title,high
P412,Bidirectional Human-AI Alignment: Emerging Challenges and Opportunities.pdf,filename-title,high
P413,A DIKWP-Based Value Alignment Generation Method Oriented Toward Sovereign Artificial Intelligence.pdf,filename-title,high
P414,Aligning Technology with Human Values: The Measurement Problem.pdf,filename-title,high
P415,The argument for near-term human disempowerment through AI.pdf,filename-title,high
P416,Deception abilities emerged in large language models.pdf,filename-title,high
P417,Su_2025_oa.pdf,surname-year,high
P418,User-Driven Value Alignment: Understanding Users' Perceptions and Strategies for Addressing Biased and Discriminatory Statements in AI Companions.pdf,filename-title,high
P421,A First Look at AI Trends in Value-Aligned Software Engineering Publications: Human-LLM Insights.pdf,filename-title,high
P422,Federated Fine-Tuning of Large Language Models for Intelligent Automotive Systems with Low-Rank Adaptation.pdf,filename-title,high
P424,The Hall of AI Fears and Hopes: Comparing the Views of AI Influencers and those of Members of the U.S. Public Through an Interactive Platform.pdf,filename-title,high
P425,AI Assurance Needs a Systems Engineering Approach.pdf,filename-title,high
P427,Ultra-wide field and new wide field composite retinal image registration with AI-enabled pipeline and 3D distortion correction algorithm.pdf,filename-title,high
P428,Prosocial behavior in Large Language Models: Value alignment and affective mechanisms.pdf,filename-title,high
P429,DxHF: Providing High-Quality Human Feedback for LLM Alignment with Interactive Decomposition.pdf,filename-title,high
P430,Towards realistic evaluation of cultural value alignment in large language models: Diversity enhancement for survey response simulation.pdf,filename-title,high
P431,Kantian Fallibilist Ethics for AI Alignment.pdf,filename-title,high
P432,Public Opinion on the Politics of AI Alignment: Cross-National Evidence on Expectations for AI Moderation From Germany and the United States.pdf,filename-title,high
P434,A Vision for Value-Aligned AI-Driven Systems.pdf,filename-title,high
P435,A tyrannical societal something: Drawing lessons for twenty-first-century ‘privacy-protecting’ technology from long nineteenth-century literature.pdf,filename-title,high
P436,Robot learning in the era of foundation models: a survey.pdf,filename-title,high
P438,"Large Language Models in Human Subject Research, and the Presence of Idiosyncratic Human Behaviors.pdf",filename-title,high
P439,Interactively Explaining Robot Policies to Humans in Integrated Virtual and Physical Training Environments.pdf,filename-title,high
P440,On the relevance of value system structure for automated value-aligned decision-making.pdf,filename-title,high
P441,Context Sensitive Frames and AI Alignment.pdf,filename-title,high
P442,Removing Prompt-template Bias in Reinforcement Learning from Human Feedback.pdf,filename-title,high
P443,Decision-Maker Alignment: Benchmark Datasets.pdf,filename-title,high
P444,Inferring Human Fairness Judgments with Large Language Models in Human-Robot Interaction Scenarios.pdf,filename-title,high
P445,Badea_2022_oa.pdf,surname-year,high
P446,AI development choices with multiple values.pdf,filename-title,high
P447,AI should embody our values: Investigating journalistic values to inform AI technology design.pdf,filename-title,high
P449,Coston_2023_oa.pdf,surname-year,high
P450,Trustworthy Knowledge Graph Completion Based on Multi-sourced Noisy Data.pdf,filename-title,high
P451,Solving A.I Safety and Alignment Issues Through Classical Safety Technology.pdf,filename-title,high
P452,Better Understanding of Humans for Cooperative AI through Clustering.pdf,filename-title,high
P453,Human-aware AI —A foundational framework for human–AI interaction.pdf,filename-title,high
P454,Ma_2024_oa.pdf,surname-year,high
P455,Estimating Value Preferences in a Hybrid Participatory System.pdf,filename-title,high
P457,Sarma_2018_oa.pdf,surname-year,high
P459,Fisac_2020_oa.pdf,surname-year,high
P460,Moral Gridworlds: A Theoretical Proposal for Modeling Artificial Moral Cognition.pdf,filename-title,high
P465,Vision Paper: Advancing of AI Explainability for the Use of ChatGPT in Government Agencies - Proposal of A 4-Step Framework.pdf,filename-title,high
P466,Intentional Biases in LLM Responses.pdf,filename-title,high
P467,What overarching ethical principle should a superintelligent AI follow?.pdf,filename-title,high
P468,Safe Artificial General Intelligence via Distributed Ledger Technology.pdf,filename-title,high
P469,Deadline-Safe Reach-Avoid Control Synthesis for Cyber-Physical Systems with Reinforcement Learning.pdf,filename-title,high
P471,Can the predictive processing model of the mind ameliorate the value-alignment problem?.pdf,filename-title,high
P472,Nyrup_2022_oa.pdf,surname-year,high
P473,On Admissible Behaviours for Goal-Oriented Decision-Making of Value-Aware Agents.pdf,filename-title,high
P474,Zhu_2024_oa.pdf,surname-year,high
P477,"Norms, Rewards, and the Intentional Stance: Comparing Machine Learning Approaches to Ethical Training.pdf",filename-title,high
P478,A path to artificial intelligence.pdf,filename-title,high
P480,"On Autonomy, Governance, and Values: An AGV Approach to Value Engineering.pdf",filename-title,high
P481,AI Ethics and Value Alignment for Nonhuman Animals.pdf,filename-title,high
P483,Value Cores for Inner and Outer Alignment: Simulating Personality Formation via Iterated Policy Selection and Preference Learning with Self-World.pdf,filename-title,high
P484,Kang_2024_oa.pdf,surname-year,high
P485,Transformers discover an elementary calculation system exploiting local attention and grid-like problem representation.pdf,filename-title,high
P486,Society Protect: Developing A Voting Mechanism for Blockchain-based AI Alignment.pdf,filename-title,high
P487,Bertoncini_2023_oa.pdf,surname-year,high
P490,From Data to Decisions: Assessing the Feasibility and Rationality of Human-in-the-Loop for AI Value Alignment.pdf,filename-title,high
P491,Global solutions vs. Local solutions for the ai safety problem.pdf,filename-title,high
P492,Forecasting emergent risks in advanced AI systems: an analysis of a future road transport management system.pdf,filename-title,high
P493,Transparent Value Alignment.pdf,filename-title,high
P494,Domesticating Artificial Intelligence.pdf,filename-title,high
P495,TAUCHI-GPT: Leveraging GPT-4 to Create a Multimodal Open-Source Research AI Tool.pdf,filename-title,high
P496,Bekenova_2022_oa.pdf,surname-year,high
P497,Validating metrics for reward alignment in human-autonomy teaming.pdf,filename-title,high
P498,Goodman_2021_oa.pdf,surname-year,high
P499,Cybersecurity and privacy in smart bioprinting.pdf,filename-title,high
P500,Artificial intelligence and indigenous perspectives: Protecting and empowering intelligent human beings.pdf,filename-title,high
P502,Interpretable Preferences via Multi-Objective Reward Modeling and Mixture-of-Experts.pdf,filename-title,high
P505,(When) can ai bots lie?.pdf,filename-title,high
P506,Alleviating Action Hallucination for LLM-based Embodied Agents via Inner and Outer Alignment.pdf,filename-title,high
P507,Everitt_2021_oa.pdf,surname-year,high
P508,Instilling moral value alignment by means of multi-objective reinforcement learning.pdf,filename-title,high
P510,Error-correction for ai safety.pdf,filename-title,high
P512,Training for Implicit Norms in Deep Reinforcement Learning Agents through Adversarial Multi-Objective Reward Optimization.pdf,filename-title,high
P514,DISTINCTIVE IMAGE CAPTIONING: LEVERAGING GROUND TRUTH CAPTIONS IN CLIP GUIDED REINFORCEMENT LEARNING.pdf,filename-title,high
P516,Social choice ethics in artificial intelligence.pdf,filename-title,high
P518,Taking into Account Sentient Non-Humans in AI Ambitious Value Learning: Sentientist Coherent Extrapolated Volition.pdf,filename-title,high
P521,A novel multi-step reinforcement learning method for solving reward hacking.pdf,filename-title,high
P522,Wuli-Shili-Renli-Jili System Approach and Its Application in Large Model Value Alignment.pdf,filename-title,high
P523,Current cases of AI misalignment and their implications for future risks.pdf,filename-title,high
P526,Algorithms for Learning Value-Aligned Policies Considering Admissibility Relaxation.pdf,filename-title,high
P527,Shared moral foundations of embodied artificial intelligence.pdf,filename-title,high
P529,Slavkovik_2021_oa.pdf,surname-year,high
P530,Gu_2023_oa.pdf,surname-year,high
P531,W_schle_2022_oa.pdf,filename-title,high
P533,Decoding the Alignment Problem: Revisiting the 1958 NYT Report on Rosenblatt's Perceptron Through the Lens of Information Theory.pdf,filename-title,high
P534,Examining the differential risk from high-level artificial intelligence and the question of control.pdf,filename-title,high
P535,Osoba_2020_oa.pdf,surname-year,high
P536,Exploiting Moral Values to Choose the Right Norms.pdf,filename-title,high
P537,Pleasure addiction via brain-manipulating technologies as a possible contributor to civilizational decline.pdf,filename-title,high
P538,AI Alignment Dialogues: An Interactive Approach to AI Alignment in Support Agents.pdf,filename-title,high
P540,Unpacking the Ethical Value Alignment in Big Models.pdf,filename-title,high
P541,TauchiGPT_V2: Opensource AI Tool Designed to Assist in Academic Research.pdf,filename-title,high
P543,MARNet: Backdoor Attacks Against Cooperative Multi-Agent Reinforcement Learning.pdf,filename-title,high
P546,"Artificial thinking and doomsday projections: a discourse on trust, ethics and safety.pdf",filename-title,high
P547,AGI Agent Safety by Iteratively Improving the Utility Function.pdf,filename-title,high
P548,Training Value-Aligned Reinforcement Learning Agents Using a Normative Prior.pdf,filename-title,high
P549,Affordances' for Machine Learning.pdf,filename-title,high
P550,Al_Nahian_2024_oa.pdf,filename-title,high
P551,Understanding the spirit of a norm: Challenges for norm-learning agents.pdf,filename-title,high
P552,AI Alignment and Human Reward.pdf,filename-title,high
P553,Friendly Superintelligent AI: All You Need Is Love.pdf,filename-title,high
P557,"The linguistic dead zone of value-aligned agency, natural and artificial.pdf",filename-title,high
P559,Addressing the Value Alignment Problem through Online Institutions.pdf,filename-title,high
P560,Protecting Human Investors with Blockchain-based Circuit Breakers.pdf,filename-title,high
P562,A Survey of the Potential Long-term Impacts of AI.pdf,filename-title,high
P563,Calibrating machine behavior: a challenge for AI alignment.pdf,filename-title,high
P564,Human-in-the-Loop Ethical AI for Care Robots and Confucian Virtue Ethics.pdf,filename-title,high
P565,An Ontology for Value Awareness Engineering.pdf,filename-title,high
P566,Edwards_2024_oa.pdf,surname-year,high
P569,A Cautionary Tale About AI-Generated Goal Suggestions.pdf,filename-title,high
P570,A Playground for the Value Alignment Problem.pdf,filename-title,high
P572,"Artificial Intelligence, Values, and Alignment.pdf",filename-title,high
P573,Orthogonality-based disentanglement of responsibilities for ethical intelligent systems.pdf,filename-title,high
P576,Action Guidance and AI Alignment.pdf,filename-title,high
P580,An Enactive Approach to Value Alignment in Artificial Intelligence: A Matter of Relevance.pdf,filename-title,high
P583,Multiparty dynamics and failure modes for machine learning and artificial intelligence.pdf,filename-title,high
P584,"Benchmarked Ethics: A Roadmap to AI Alignment, Moral Knowledge, and Control.pdf",filename-title,high
P585,Sutrop_2020_oa.pdf,surname-year,high
P586,Mogi_2024_oa.pdf,surname-year,high
P588,Aligning Crowd-sourced Human Feedback for Code Generation with Bayesian Inference.pdf,filename-title,high
P589,From Homo Sapiens to Robo Sapiens: The Evolution of Intelligence.pdf,filename-title,high
P590,A tiered approach for ethical AI evaluation metrics.pdf,filename-title,high
P591,Learning norms from stories: A prior for value aligned agents.pdf,filename-title,high
P592,Relationship Between Trust in the Artificial Intelligence Creator and Trust in Artificial Intelligence Systems: The Crucial Role of Artificial Intelligence Alignment and Steerability.pdf,filename-title,high
P594,Aligning artificial intelligence with human values: reflections from a phenomenological perspective.pdf,filename-title,high
P598,A Bidirectional Value Alignment Method Based on Behavior Trees.pdf,filename-title,high
P599,Spatio-Temporal Graph Analytics on Secondary Affect Data for Improving Trustworthy Emotional AI.pdf,filename-title,high
P600,Encoding Ethics to Compute Value-Aligned Norms.pdf,filename-title,high
P602,A Proposal for Artificial Moral Pedagogical Agents.pdf,filename-title,high
P603,Inverse Norm Conflict Resolution.pdf,filename-title,high
P604,Integrating Quantitative and Qualitative Reasoning for Value Alignment.pdf,filename-title,high
P605,AI Value Alignment Problem: The Clear and Present Danger.pdf,filename-title,high
P608,Provably Safe Artificial General Intelligence via Interactive Proofs.pdf,filename-title,high
P609,Poster Paper: Towards Blockchain-Based AI Alignment Using a Proof of Personhood Consensus Mechanism.pdf,filename-title,high
P610,Abbo_2024_oa.pdf,surname-year,high
P612,"A Survey of LLM-based Agents: Theories, Technologies, Applications and Suggestions.pdf",filename-title,high
P613,Impossibility Results in AI: A Survey.pdf,filename-title,high
P614,Machines learning values*.pdf,filename-title,high
P616,Nyholm_2023_oa.pdf,surname-year,high
P617,Mitigating Bias in Reinforcement Learning from Human Feedback for Large Language Models.pdf,filename-title,high
P618,Kang_2023_oa.pdf,surname-year,high
P619,Superintelligence as superethical.pdf,filename-title,high
P621,Agent Foundations for Aligning Machine Intelligence with Human Interests: A Technical Research Agenda.pdf,filename-title,high
P622,A software tool to measure the alignment of assessment instrument with a set of learning objectives of a course.pdf,filename-title,high
P624,Design principles for integrated AI alignment.pdf,filename-title,high
P628,The End of History? Envisioning the Economy at Technological Singularity.pdf,filename-title,high
P629,Schneider_2024_oa.pdf,surname-year,high
P631,Towards functional social cognition in machines: comparing human and AI attribution of mental states from facial cues.pdf,filename-title,high
P634,Diamond_2025_arxiv.pdf,surname-year,high
P635,Nishimura_Gasparian_2026_arxiv.pdf,filename-title,high
P636,Gabor_2025_arxiv.pdf,surname-year,high
P637,Roth_2026_arxiv.pdf,surname-year,high
P639,Detecting and Suppressing Reward Hacking with Gradient Fingerprints.pdf,filename-title,high
P642,Reward Hacking as Equilibrium under Finite Evaluation.pdf,filename-title,high
P643,Hong_2026_arxiv.pdf,surname-year,high
P645,Reward Hacking in Language Model Agents: Revisiting AI Safety Gridworlds.pdf,filename-title,high
P646,MacDiarmid_2025_arxiv.pdf,surname-year,high
P647,Do Prompt-Elicited Trajectories Reflect Training-Time Reward Hacking A Systematic Study on Monitoring Trainig-Time Reward Hacking in Code Generation.pdf,filename-title,high
P648,Khalifa_2026_arxiv.pdf,surname-year,high
P651,Rashidinejad_2024_arxiv.pdf,surname-year,high
P652,"Reproducing, Analyzing, and Detecting Reward Hacking in Rubric-Based Reinforcement Learning.pdf",filename-title,high
P653,Adversarial Reward Auditing for Active Detection and Mitigation of Reward Hacking.pdf,filename-title,high
P654,Yao_2026_arxiv.pdf,surname-year,high
P657,He_2025_arxiv.pdf,surname-year,high
P658,The Energy Loss Phenomenon in RLHF A New Perspective on Mitigating Reward Hacking.pdf,filename-title,high
P659,Wilhelm_2026_arxiv.pdf,surname-year,high
P660,Dable_Heath_2025_arxiv.pdf,filename-title,high
P661,Sahoo_2025_arxiv.pdf,surname-year,high
P662,Thaman_2026_arxiv.pdf,surname-year,high
P663,Belenky_2026_arxiv.pdf,surname-year,high
P665,Bhat_2024_arxiv.pdf,surname-year,high
P666,Mahmoud_2026_arxiv.pdf,surname-year,high
P667,Hudson_2025_arxiv.pdf,surname-year,high
P668,Bondarenko_2025_arxiv.pdf,surname-year,high
P669,Khalaf_2025_arxiv.pdf,surname-year,high
P670,"Reward Hacking in the Era of Large Models Mechanisms, Emergent Misalignment, Challenges.pdf",filename-title,high
P671,Deng_2026_arxiv.pdf,surname-year,high
P672,Turpin_2025_arxiv.pdf,surname-year,high
P674,Reward Shaping to Mitigate Reward Hacking in RLHF.pdf,filename-title,high
P676,Deshpande_2026_arxiv.pdf,surname-year,high
P678,Abahana_2026_arxiv.pdf,surname-year,high
P681,Opryshko_2026_arxiv.pdf,surname-year,high
P683,Zhai_2025_arxiv.pdf,surname-year,high
P684,Ji_2025_arxiv.pdf,surname-year,high
P686,Heath_2026_arxiv.pdf,surname-year,high
P688,Defining and Characterizing Reward Hacking.pdf,filename-title,high
P689,Generative Adversarial Post-Training Mitigates Reward Hacking in Live Human-AI Music Interaction.pdf,filename-title,high
P690,Eisenstein_2023_arxiv.pdf,surname-year,high
P691,UMM-RM An Upcycle-and-Merge MoE Reward Model for Mitigating Reward Hacking.pdf,filename-title,high
P693,Proxy Reward Internalization and Mechanistic Exploitation A Learned Precursor to Reward Hacking and Its Generalization.pdf,filename-title,high
P694,Nayebi_2025_arxiv.pdf,surname-year,high
P695,Is It Thinking or Cheating Detecting Implicit Reward Hacking by Measuring Reasoning Effort.pdf,filename-title,high
P696,Information-Theoretic Reward Modeling for Stable RLHF Detecting and Mitigating Reward Hacking.pdf,filename-title,high
P698,Temper and Tilt Lead to SLOP Reward Hacking Mitigation with Inference-Time Alignment.pdf,filename-title,high
P699,Olukola_2026_arxiv.pdf,surname-year,high
P700,Gan_2026_arxiv.pdf,surname-year,high
P701,Feedback Loops With Language Models Drive In-Context Reward Hacking.pdf,filename-title,high
P702,Specification Self-Correction Mitigating In-Context Reward Hacking Through Test-Time Refinement.pdf,filename-title,high
P703,West_2024_arxiv.pdf,surname-year,high
P705,Singha_2026_arxiv.pdf,surname-year,high
P706,A Multi-Level Framework for the AI Alignment Problem.pdf,filename-title,high
P707,Duan_2026_arxiv.pdf,surname-year,high
P710,When Reward Hacking Rebounds Understanding and Mitigating It with Representation-Level Signals.pdf,filename-title,high
P715,Sahoo_2026_arxiv.pdf,surname-year,high
P716,Lian_2025_arxiv.pdf,surname-year,high
P718,Fisac_2017_arxiv.pdf,surname-year,high
P719,Ackermann_2026_arxiv.pdf,surname-year,high
P720,McKinlay_2025_arxiv.pdf,surname-year,high
P722,Carroll_2024_arxiv.pdf,surname-year,high
P723,Jha_2026_arxiv.pdf,surname-year,high
P724,Hagendorff_2022_arxiv.pdf,surname-year,high
P726,Potham_2025_arxiv.pdf,surname-year,high
P728,What Makes a Medical Checker Trainable Diagnosing Signal Collapse and Reward Hacking in Checker-Guided RAG for Biomedical QA.pdf,filename-title,high
P732,Tlaie_2024_arxiv.pdf,surname-year,high
P733,MAP Multi-Human-Value Alignment Palette.pdf,filename-title,high
P735,Mougan_2023_arxiv.pdf,surname-year,high
P736,Dung_2025_arxiv.pdf,surname-year,high
P738,Sierra_2021_arxiv.pdf,surname-year,high
P739,Yang_2026_arxiv.pdf,surname-year,high
P741,Rane_2023_arxiv.pdf,surname-year,high
P742,LaCroix_2022_arxiv.pdf,surname-year,high
P743,Feng_2023_arxiv.pdf,surname-year,high
P746,Zeng_2025_arxiv.pdf,surname-year,high
P748,Lehalleur_2025_arxiv.pdf,surname-year,high
P749,Zhang_2023_arxiv.pdf,surname-year,high
P750,Spizzirri_2025_arxiv.pdf,surname-year,high
P752,Qiao_2026_arxiv.pdf,surname-year,high
P753,Aliman_2019_arxiv.pdf,surname-year,high
P754,Gallego_2025_arxiv.pdf,surname-year,high
P757,Value Alignment Tax Measuring Value Trade-offs in LLM Alignment.pdf,filename-title,high
P758,Montes_2020_arxiv.pdf,surname-year,high
P759,Dognin_2024_arxiv.pdf,surname-year,high
P760,Suleymanov_2026_arxiv.pdf,surname-year,high
P761,Wu_2026_arxiv.pdf,surname-year,high
P763,Peng_2026_arxiv.pdf,surname-year,high
P765,Bhatia_2025_arxiv.pdf,surname-year,high
P766,Carichon_2025_arxiv.pdf,surname-year,high
P767,Frazier_2019_arxiv.pdf,surname-year,high
P768,Grounding Value Alignment with Ethical Principles.pdf,filename-title,high
P769,Gradual Vigilance and Interval Communication: Enhancing Value Alignment in Multi-Agent Debates.pdf,filename-title,high
P775,Existential Indifference: Self-Nonpreservation as a Necessary Architectural Condition for Aligned Superintelligence (or: The Suicidal AI).pdf,filename-title,high
P777,DYNAMIC VALUE ALIGNMENT THROUGH PREFERENCE AGGREGATION OF MULTIPLE OBJECTIVES.pdf,filename-title,high
P778,Interoceptive Divergence in Aesthetic Evaluation and Implications for Human-AI Alignment.pdf,filename-title,high
P780,The Challenge of Value Alignment from Fairer Algorithms to AI Safety.pdf,filename-title,high
P783,Safeguardingsafeguards the How best to promote AI alignment in the public interest.pdf,filename-title,high
P789,Principles Do Not Apply Themselves: A Hermeneutic Perspective on AI Alignment.pdf,filename-title,high
P794,System 2 Reasoning for Human-AI Alignment: Generality and Adaptivity via ARC-AGI.pdf,filename-title,high
P795,Counterfactual Reasoning for Steerable Pluralistic Value Alignment of Large Language Models.pdf,filename-title,high
P796,Ji_2026_arxiv.pdf,surname-year,high
P797,Towards New Benchmark for AI Alignment & Sentiment Analysis in Socially Important Issues: A Comparative Study of Human and LLMs in the Context of AGI.pdf,filename-title,high
P798,Dialogical Reasoning Across AI Architectures: A Multi-Model Framework for Testing AI Alignment Strategies.pdf,filename-title,high
P799,Towards Dialogues for Joint Human-AI Reasoning and Value Alignment.pdf,filename-title,high
P801,Building Intelligent User Interfaces for Human-AI Alignment.pdf,filename-title,high
P802,The Battling Influencers Game Nash Equilibria Structure of a Potential Game and Implications to Value Alignment.pdf,filename-title,high
P803,A Statistical Case Against Empirical Human-AI Alignment.pdf,filename-title,high
P809,Multi-Value Alignment in Normative Multi-Agent System An Evolutionary Optimisation Approach.pdf,filename-title,high
P811,Sparsity and Out-of-Distribution Generalization.pdf,filename-title,high
P812,Beyond Static Snapshots: A Grounded Evaluation Framework for Language Models at the Agentic Frontier.pdf,filename-title,high
