id,title,decision,reason,note
P02_0902,ViLPAct: A Benchmark for Compositional Generalization on Multimodal Human Activities,Uncertain,,"ood_nums=20, id_ev=0 (ID baseline missing?)"
P02_0908,From Reasoning Traces to Reusable Modules: Understanding Compositional Generalization in Language Model Reasoning,Include,,nn=6 ood=9 id_ev=7 ood_nums=21
P02_0909,Systematic Generalization: What Is Required and Can It Be Learned?,Include,,nn=10 ood=4 id_ev=4 ood_nums=21
P02_0910,Learning by Analogy: A Causal Framework for Composition Generalization,Uncertain,,"ood_nums=45, id_ev=0 (ID baseline missing?)"
P02_0912,Provably Efficient Causal Model-Based Reinforcement Learning for Systematic Generalization,Exclude,FT1,ood_hits=1 (<2)
P02_0917,Seen to Unseen: Exploring Compositional Generalization of Multi-Attribute Controllable Dialogue Generation,Uncertain,,"ood_nums=113, id_ev=0 (ID baseline missing?)"
P02_0919,Latent Compositional Representations Improve Systematic Generalization in Grounded Question Answering,Include,,nn=13 ood=6 id_ev=12 ood_nums=27
P02_0924,COVR: A test-bed for Visually Grounded Compositional Generalization with real images,Include,,nn=8 ood=7 id_ev=5 ood_nums=60
P02_0927,ClassicLogic: A Knowledge-Driven Benchmark of Classic Puzzle Games for Evaluating Compositional Generalization,Include,,nn=8 ood=7 id_ev=9 ood_nums=35
P02_0928,HICO-DET-SG and V-COCO-SG: New Data Splits for Evaluating the Systematic Generalization Performance of Human-Object Interaction Detection Models,Include,,nn=9 ood=8 id_ev=51 ood_nums=189
P02_0929,"InternVLA-A1.5: Unifying Understanding, Latent Foresight, and Action for Compositional Generalization",Uncertain,,"ood_nums=42, id_ev=0 (ID baseline missing?)"
P02_0933,Inductive Biases for Zero-shot Systematic Generalization in Language-informed Reinforcement Learning,Include,,nn=15 ood=8 id_ev=21 ood_nums=49
P02_0936,"A Minimalist Dataset for Systematic Generalization of Perception, Syntax, and Semantics",Include,,nn=18 ood=7 id_ev=23 ood_nums=33
P02_0938,Towards Systematic Generalization for Power Grid Optimization Problems,Exclude,FT1,ood_hits=1 (<2)
P02_0941,Challenges in Generalization in Open Domain Question Answering,Include,,nn=10 ood=4 id_ev=7 ood_nums=19
P02_0942,Scale Up Strategically: Learning Compositional Generalization via Bias-Aware Evaluation and Data Collection for Robotic Manipulation,Include,,nn=7 ood=4 id_ev=2 ood_nums=48
P02_0946,ATOM-Bench: A Real-World Benchmark for Atomic Skills and Compositional Generalization in Manipulation Policies,Uncertain,,"ood_nums=28, id_ev=0 (ID baseline missing?)"
P02_0957,Low-Frequency Shortcuts in Texture-Driven Visual Learning,Include,,nn=10 ood=3 id_ev=68 ood_nums=34
P02_0964,Compositional Generalization in Spoken Language Understanding,Include,,nn=12 ood=7 id_ev=7 ood_nums=112
P02_0985,Point-SRA: Self-Representation Alignment for 3D Representation Learning,Exclude,FT1,ood_hits=0 (<2)
P02_1078,Adversarial Image Alignment and Interpolation,Exclude,FT1,ood_hits=0 (<2)
P02_1122,A model to assess customer alignment through customer experience concepts,Exclude,FT7,survey/review signals dominate; <3 experiment markers
P02_1128,Intelligent Angle Map-based Beam Alignment for RIS-aided mmWave Communication Networks,Exclude,FT1,ood_hits=0 (<2)
P02_1141,Deep Unfolding Network with Spatial Alignment for multi-modal MRI reconstruction,Exclude,FT1,ood_hits=0 (<2)
P02_1144,Aleena: Alignment Agent for Research Software Engineering Collaborations,Exclude,FT1,ood_hits=1 (<2)
