study_id,id,title,authors,year,doi,arxiv_id,relevance_score,page_count,annotation,ft_status,pdf_status,has_pdf,needs_download,dup_within_lib,dup_pdf_file,download_url
P1133,P01_2617,Testing the natural abstraction hypothesis,"Wentworth, John",2021,,,2,,RQ: Testing the natural abstraction hypothesis | Abstract: ,no-doi,no-doi,no,yes,,no,
P1134,P01_2618,Why AI alignment could be hard with modern deep learning,"Cotra, Ajeya",2021,,,3,,RQ: Why AI alignment could be hard with modern deep learning | Abstract: ,no-doi,no-doi,no,yes,,no,
P1135,P01_2620,Value alignment verification for safe artificial intelligence systems,"Arnold, T.",2021,,,3,,RQ: Value alignment verification for safe artificial intelligence systems | Abstract: ,no-doi,no-doi,no,yes,,no,
P1136,P01_2628,Draft Report on AI timelines. (Blog) AI Alignment Forum,"Cotra, A.",2020,,,3,,RQ: Draft Report on AI timelines. (Blog) AI Alignment Forum | Abstract: ,no-doi,no-doi,no,yes,,no,
P1137,P01_2629,Towards an empirical investigation of inner alignment,"Hubinger, E.",2020,,,3,,RQ: Towards an empirical investigation of inner alignment | Abstract: ,no-doi,no-doi,no,yes,,no,
P1138,P01_2632,AI safety via market making,"Hubinger, E.",2020,,,2,,RQ: AI safety via market making | Abstract: ,no-doi,no-doi,no,yes,,no,
P1139,P01_2634,"AI Alignment, Philosophical Pluralism, and the Relevance of Non-Western Philosophy","Zhi-Xuan, T.",2020,,,3,,"RQ: AI Alignment, Philosophical Pluralism, and the Relevance of Non-Western Philosophy | Abstract: ",no-doi,no-doi,no,yes,,no,
P114,P01_0414,Moral Endogeneity in Artificial Intelligence from the Perspective of Moral Development: A Case Study of Large Language Models,"Zhang, Y.; Xu, X.; Gou, H.; Zhang, X.",2026,10.16719/j.cnki.1671-6981.20260103,,3,,"RQ: Moral Endogeneity in Artificial Intelligence from the Perspective of Moral Development: A Case Study of Large Language Models | Abstract: Contemporary research in Artificial Intelligence (AI) ethics primarily focuses on three core dimensions, including debates about moral agents, the transformation of moral design paradigms, and the challenges in achieving value alignment. Vi",paywalled,paywalled,no,yes,,no,https://doi.org/10.16719/j.cnki.1671-6981.20260103
P1140,P01_2635,Non-obstruction: A simple concept motivating corrigibility,"Turner, Alexander M.",2020,,,3,,RQ: Non-obstruction: A simple concept motivating corrigibility | Abstract: ,no-doi,no-doi,no,yes,,no,
P1141,P01_2636,Norms for Beneficial AI: A Computational Analysis of the Societal Value Alignment Problem,"Fernandes, P.M.; Santos, F.C.; Lopes, M.",2020,,,4,,RQ: Norms for Beneficial AI: A Computational Analysis of the Societal Value Alignment Problem | Abstract: ,no-doi,no-doi,no,yes,,no,
P1142,P01_2637,Distinguishing Definitions of Takeoff. AI Alignment Forum,"Barnett, M.",2020,,,3,,RQ: Distinguishing Definitions of Takeoff. AI Alignment Forum | Abstract: ,no-doi,no-doi,no,yes,,no,
P1143,P01_2639,AGI safety from first principles,"Ngo, R.",2020,,,3,,RQ: AGI safety from first principles | Abstract: ,no-doi,no-doi,no,yes,,no,
P1144,P01_2642,Specification gaming: the flip side of AI ingenuity,"Krakovna, Victoria; Uesato, Jonathan; Mikulik, Vladimir; Rahtz, Matthew; Everitt, Tom; Kumar, Ramana; Kenton, Zac; Leike, Jan; Legg, Shane",2020,,,3,,RQ: Specification gaming: the flip side of AI ingenuity | Abstract: ,no-doi,no-doi,no,yes,,no,
P1145,P01_2647,"AI does not hate you, nor does it love you: understanding the value alignment problem","Sarkar, S.",2020,,,4,,"RQ: AI does not hate you, nor does it love you: understanding the value alignment problem | Abstract: ",no-doi,no-doi,no,yes,,no,
P1146,P01_2648,The problem of value alignment in business decision making: Humans vs. artificial intelligence,"Donaldson, T. J.; Neesham, C.",2020,,,3,,RQ: The problem of value alignment in business decision making: Humans vs. artificial intelligence | Abstract: ,no-doi,no-doi,no,yes,,no,
P1147,P01_2650,Business analysis method for constructing business-AI alignment model,"Takeuchi, H.; Yamamoto, s.",2020,,,3,,RQ: Business analysis method for constructing business-AI alignment model | Abstract: ,no-doi,no-doi,no,yes,,no,
P1148,P01_2653,Clarifying inner alignment terminology,"Hubinger, Evan",2020,,,3,,RQ: Clarifying inner alignment terminology | Abstract: ,no-doi,no-doi,no,yes,,no,
P1149,P01_2654,Incomplete contracting and AI alignment,"Hadfield-Menell, D.; Hadfield, G.K.",2019,,,3,,RQ: Incomplete contracting and AI alignment | Abstract: ,no-doi,no-doi,no,yes,P009,no,
P115,P01_0416,Reflective Agency vs. Sensorimotor Autonomy in the Debate on the Agency of Artificial Cognitive Systems,"Tomczyk, B.",2025,10.26913/ava32502,,4,,"RQ: Reflective Agency vs. Sensorimotor Autonomy in the Debate on the Agency of Artificial Cognitive Systems | Abstract: In the presented article, I invoke two concepts of agency: the first, formulated within the framework of analytical philosophy of intentional action, which assumes the reflexivity of the agent, and the second, developed within the enactivis",retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.26913/ava32502
P1150,P01_2656,Relaxed adversarial training for inner alignment,"Hubinger, Evan",2019,,,3,,RQ: Relaxed adversarial training for inner alignment | Abstract: ,no-doi,no-doi,no,yes,,no,
P1151,P01_2657,Augmented Utilitarianism for AGI Safety,"Aliman, N.-M.; Kester, L.",2019,,,3,,RQ: Augmented Utilitarianism for AGI Safety | Abstract: ,no-doi,retrieved-manual,yes,no,,no,
P1152,P01_2658,Corrigibility with utility preservation,"Holtman, K.",2019,,,3,,RQ: Corrigibility with utility preservation | Abstract: ,no-doi,no-doi,no,yes,,no,
P1153,P01_2660,The necessary roadblock to artificial general intelligence: Corrigibility,"Lo, Y.L.; Woo, C.Y.; Ng, K.L.",2019,,,4,,RQ: The necessary roadblock to artificial general intelligence: Corrigibility | Abstract: ,no-doi,no-doi,no,yes,P004,no,
P1154,P01_2665,Implications of quantum computing for artificial intelligence alignment research,"Sevilla, J.; Moreno, P.",2019,,,3,,RQ: Implications of quantum computing for artificial intelligence alignment research | Abstract: ,no-doi,no-doi,no,yes,,no,
P1155,P01_2666,The Challenges of AI Alignment,"Wainwright, M.J.; Eckersley, P",2019,,,3,,RQ: The Challenges of AI Alignment | Abstract: ,no-doi,no-doi,no,yes,,no,
P1156,P01_2667,AGI will Drastically Increase Economies of Scale. AI Alignment Forum,"Dai, W.",2019,,,3,,RQ: AGI will Drastically Increase Economies of Scale. AI Alignment Forum | Abstract: ,no-doi,no-doi,no,yes,,no,
P1157,P01_2668,The Main Sources of AI Risk? AI Alignment Forum,"Kokotajlo, D.; Dai, W.",2019,,,3,,RQ: The Main Sources of AI Risk? AI Alignment Forum | Abstract: ,no-doi,no-doi,no,yes,,no,
P1158,P01_2672,Specification Gaming Examples in AI - master list: sheet 1,"Krakovna, V.",2019,,,3,,RQ: Specification Gaming Examples in AI - master list: sheet 1 | Abstract: ,no-doi,no-doi,no,yes,,no,
P1159,P01_2674,"On the referendum #31: Project Maven, procurement, lollapalooza results & nuclear/AGI safety","Cummings, D.",2019,,,3,,"RQ: On the referendum #31: Project Maven, procurement, lollapalooza results & nuclear/AGI safety | Abstract: ",no-doi,no-doi,no,yes,,no,
P116,P01_0417,The Roles of Fairness and Effectiveness in Promoting Legitimacy and Cooperation with Security Robotic Authority,"Ye, X.; Robert, L.P.",2026,10.1145/3757279.3788657,,3,,"RQ: The Roles of Fairness and Effectiveness in Promoting Legitimacy and Cooperation with Security Robotic Authority | Abstract: Security robots increasingly assume authoritative roles, but the underlying mechanisms for why humans cooperate with them is not well understood. This study proposed and tested a cooperation model based on legitimacy theory, focusing on how",paywalled,paywalled,no,yes,,no,https://doi.org/10.1145/3757279.3788657
P1160,P01_2675,Modeling AGI safety frameworks with causal inuence diagrams,"Everitt, T.; Kumar, R.; Krakovna, V.; Legg, S.",2019,,,3,,RQ: Modeling AGI safety frameworks with causal inuence diagrams | Abstract: ,no-doi,no-doi,no,yes,,no,
P1161,P01_2677,AI safety debate and its applications,"Kovařík, V.",2019,,,2,,RQ: AI safety debate and its applications | Abstract: ,no-doi,no-doi,no,yes,,no,
P1162,P01_2678,"AI Alignment Problem: ""Human Values"" Idea is Built Upon Many Assumptions","Turchin, A.",2019,,,3,,"RQ: AI Alignment Problem: ""Human Values"" Idea is Built Upon Many Assumptions | Abstract: ",no-doi,no-doi,no,yes,,no,
P1163,P01_2679,Current work in ai alignment,"Christiano, Paul",2019,,,3,,RQ: Current work in ai alignment | Abstract: ,no-doi,no-doi,no,yes,,no,
P1164,P01_2681,Mimetic vs anchored value alignment in artificial intelligence,"Kim, T.W.; Hooker, J.; Donaldson, T.",2018,,,3,,RQ: Mimetic vs anchored value alignment in artificial intelligence | Abstract: ,no-doi,no-doi,no,yes,,no,
P1165,P01_2683,The Limits to Corrigibility,"Armstrong, S.",2018,,,3,,RQ: The Limits to Corrigibility | Abstract: ,no-doi,no-doi,no,yes,,no,
P1166,P01_2684,Cognitive Biases and AI Value Alignment: An Interview with Owain Evans,"Davey, T.",2018,,,3,,RQ: Cognitive Biases and AI Value Alignment: An Interview with Owain Evans | Abstract: ,no-doi,no-doi,no,yes,,no,
P1167,P01_2685,AI Alignment Podcast: Inverse Reinforcement Learning and Inferring Human Preferences with Dylan Hadfield-Menell,"Perry, L.",2018,,,3,,RQ: AI Alignment Podcast: Inverse Reinforcement Learning and Inferring Human Preferences with Dylan Hadfield-Menell | Abstract: ,no-doi,no-doi,no,yes,,no,
P1168,P01_2687,Legible normativity for AI alignment: The value of silly rules,"Hadfield-Menell, D.; Andrus, M.; Hadfield, G. K.",2018,,,3,,RQ: Legible normativity for AI alignment: The value of silly rules | Abstract: ,no-doi,no-doi,no,yes,,no,
P1169,P01_2688,AI Alignment Podcast: On Becoming a Moral Realist with Peter Singer,"Sinnott-Armstrong, W.",2018,,,3,,RQ: AI Alignment Podcast: On Becoming a Moral Realist with Peter Singer | Abstract: ,no-doi,no-doi,no,yes,,no,
P117,P01_0418,Investigating Temperature and Reasoning Effort in AI Alignment with Human Judgment,"Schmidt, L.; Pehlke, M.; Jansen, M.",2026,10.1007/978-3-032-04160-9_18,,3,,RQ: Investigating Temperature and Reasoning Effort in AI Alignment with Human Judgment | Abstract: This study analyzes AI model evaluation by examining (1) the effect of temperature on model outputs and (2) a comparative study between reasoning and non-reasoning AI models. Based on a previous study (Schmidt et al.,paywalled,paywalled,no,yes,,no,https://doi.org/10.1007/978-3-032-04160-9_18
P1170,P01_2690,AGI Safety Literature Review,"Everitt, Tom; Lea, Gary; Hutter, Marcus",2018,,,3,,RQ: AGI Safety Literature Review | Abstract: ,no-doi,no-doi,no,yes,,no,
P1171,P01_2691,AI Alignment Podcast: Moral Uncertainty and the Path to AI Alignment with William MacAskill [WWW Document,"Perry, L.",2018,,,3,,RQ: AI Alignment Podcast: Moral Uncertainty and the Path to AI Alignment with William MacAskill [WWW Document | Abstract: ,no-doi,no-doi,no,yes,,no,
P1172,P01_2693,AI alignment.,"Christiano, P.",2018,,,3,,RQ: AI alignment. | Abstract: ,no-doi,no-doi,no,yes,,no,
P1173,P01_2695,From value alignment to norm competence: How robots and ai will conform to human society. paper presented at,"Malle, B.F.; Austerweil, J.L.",2018,,,3,,RQ: From value alignment to norm competence: How robots and ai will conform to human society. paper presented at | Abstract: ,no-doi,no-doi,no,yes,,no,
P1174,P01_2696,About AI alignment,"Christiano, Paul",2018,,,3,,RQ: About AI alignment | Abstract: ,no-doi,no-doi,no,yes,,no,
P1175,P01_2698,Corrigibility and Trust in the Practices of Science,"Spezio, M.L.",2018,,,3,,RQ: Corrigibility and Trust in the Practices of Science | Abstract: ,no-doi,no-doi,no,yes,,no,
P1176,P01_2700,"AI decisions, risk, and ethics: Beyond value alignment","Lin, P.",2018,,,3,,"RQ: AI decisions, risk, and ethics: Beyond value alignment | Abstract: ",no-doi,no-doi,no,yes,,no,
P1177,P01_2701,Social choice and the value alignment problem,"Prasad, M.",2018,,,4,,RQ: Social choice and the value alignment problem | Abstract: ,no-doi,no-doi,no,yes,,no,
P1178,P01_2709,The AI Alignment Problem Has Already Been Solved(?) Once,,2017,,,3,,RQ: The AI Alignment Problem Has Already Been Solved(?) Once | Abstract: ,no-doi,no-doi,no,yes,,no,
P1179,P01_2714,Towards a rigorous science of interpretable machine learning. Specification gaming: the flip side of AI ingenuity,"Doshi-Velez, F.; Kim, B.",2017,,,3,,RQ: Towards a rigorous science of interpretable machine learning. Specification gaming: the flip side of AI ingenuity | Abstract: ,no-doi,no-doi,no,yes,,no,
P118,P01_0421,Coadaptive Value Alignment Blue Sky Ideas Track,"Tsoi, N.; Hsiung, E.; Yamazaki, M.; Chaudhuri, S.; Stone, P.; Biswas, J.",2026,10.65109/NAIK4475,,4,,"RQ: Coadaptive Value Alignment Blue Sky Ideas Track | Abstract: The integration of autonomous agents into human society is a grand challenge for AI. In order to achieve widespread acceptance, agents must conform to the values of people with whom they interact.",paywalled,paywalled,no,yes,,no,https://doi.org/10.65109/NAIK4475
P1180,P01_2717,"The AI alignment problem: why it is hard, and where to start","Yudkowsky, E.",2016,,,3,,"RQ: The AI alignment problem: why it is hard, and where to start | Abstract: ",no-doi,no-doi,no,yes,,no,
P1181,P01_2718,The AI alignment problem: Why it is hard,"Yudkowsky, E.",2016,,,3,,RQ: The AI alignment problem: Why it is hard | Abstract: ,no-doi,no-doi,no,yes,,no,
P1182,P01_2720,Coherent extrapolated volition (alignment target),"Yudkowsky, E.",2016,,,3,,RQ: Coherent extrapolated volition (alignment target) | Abstract: ,no-doi,no-doi,no,yes,,no,
P1183,P01_2722,Corrigibility in AI Systems,"Russell, Stuart; LaVictoire, Patrick",2016,,,3,,RQ: Corrigibility in AI Systems | Abstract: ,no-doi,no-doi,no,yes,,no,
P1184,P01_2723,Prosaic AI alignment,"Christiano, P.",2016,,,3,,RQ: Prosaic AI alignment | Abstract: ,no-doi,no-doi,no,yes,,no,
P1185,P01_2725,"The AI Alignment Problem: Why It’s Hard, and Where to Start","Yudkowsky, E.",2016,,,3,,"RQ: The AI Alignment Problem: Why It’s Hard, and Where to Start | Abstract: ",no-doi,no-doi,no,yes,,no,
P1186,P01_2752,nostalgebraist. Interpreting GPT: The Logit Lens; 2020. AI Alignment Forum/LessWrong blog post,,,,,3,,RQ: nostalgebraist. Interpreting GPT: The Logit Lens; 2020. AI Alignment Forum/LessWrong blog post | Abstract: ,no-doi,no-doi,no,yes,,no,
P1187,P01_2755,Against the Manhattan project framing of AI alignment,"Friederich, S.; Dung, L.",,,,3,,RQ: Against the Manhattan project framing of AI alignment | Abstract: ,no-doi,no-doi,no,yes,,no,
P1188,P01_2757,"On the interplay of human-AI alignment, fairness, and performance trade-offs in medical imaging","ortanges, R.B.; Reyes, M.",,,,3,,"RQ: On the interplay of human-AI alignment, fairness, and performance trade-offs in medical imaging | Abstract: ",no-doi,no-doi,no,yes,,no,
P1189,P01_2758,"Responsibility gaps, value alignment, and meaningful human control over artificial intelligence","Nyholm, S.",,,,3,,"RQ: Responsibility gaps, value alignment, and meaningful human control over artificial intelligence | Abstract: ",no-doi,no-doi,no,yes,,no,
P119,P01_0423,"More Women, Same Stereotypes: Unpacking the Gender Bias Paradox in Large Language Models","Chen, E.; Zhan, R.-J.; Lin, Y.-B.; Chen, H.-H.",2025,10.1145/3746252.3760969,,3,,"RQ: More Women, Same Stereotypes: Unpacking the Gender Bias Paradox in Large Language Models | Abstract: Large Language Models (LLMs) have revolutionized natural language processing, yet concerns persist regarding their tendency to reflect or amplify social biases. This study introduces a novel evaluation framework to uncover gender biases in ",retrieved-oa,retrieved-oa,yes,no,,no,https://doi.org/10.1145/3746252.3760969
P1190,P01_2760,A note on philosophical investigations into AI alignment: A wittgensteinean framework,,,,,3,,RQ: A note on philosophical investigations into AI alignment: A wittgensteinean framework | Abstract: ,no-doi,no-doi,no,yes,,no,
P1191,P01_2762,AI Alignment vs.,"Bradley, A.",,,,3,,RQ: AI Alignment vs. | Abstract: ,no-doi,no-doi,no,yes,,no,
P1192,P01_2763,Legal reflection and path selection of Generative AI value alignment[ J],"Fan, J X; Chen, Y.",,,,3,,RQ: Legal reflection and path selection of Generative AI value alignment[ J] | Abstract: ,no-doi,no-doi,no,yes,,no,
P1193,P01_2765,"Value Alignment, Fair Play, and the Rights of Service Robots","Estrada, D.",,,,3,,"RQ: Value Alignment, Fair Play, and the Rights of Service Robots | Abstract: ",no-doi,no-doi,no,yes,,no,
P1194,P01_2766,A Comparative study of value alignment in generative artificial intelligence: Experiments on the top Ten international news from 2012 to 2023 [ J],"Hu, Z R; Yan, J Q.",,,,3,,RQ: A Comparative study of value alignment in generative artificial intelligence: Experiments on the top Ten international news from 2012 to 202 | Abstract: ,no-doi,no-doi,no,yes,,no,
P1195,P01_2767,Ethical challenges in AI value alignment and pathways to mitigation[ J],"Yuan, X L.",,,,3,,RQ: Ethical challenges in AI value alignment and pathways to mitigation[ J] | Abstract: ,no-doi,no-doi,no,yes,,no,
P1196,P01_2768,Progress on AI Safety via Debate,,,,,2,,RQ: Progress on AI Safety via Debate | Abstract: ,no-doi,no-doi,no,yes,,no,
P1197,P01_2770,The value alignment problem,,,,,4,,RQ: The value alignment problem | Abstract: ,no-doi,no-doi,no,yes,,no,
P1198,P01_2771,"Reward-based learning is sensitive to the quality and design of reward functions, risking reward hacking or unintended behaviors",,,,,4,,"RQ: Reward-based learning is sensitive to the quality and design of reward functions, risking reward hacking or unintended behaviors | Abstract: ",no-doi,no-doi,no,yes,,no,
P1199,P01_2772,ICLR 2025 Workshop on Bidirectional Human-AI Alignment,"Shen, Hua; Ma, Ziqiao; Ghosh, Reshmi; Knearem, Tiffany; Liu, Michael Xieyang; Wu, Tongshuang; Monroy-Hernández, Andrés; Yang, Diyi; Bosselut, Antoine; Huang, Furong",,,,3,,RQ: ICLR 2025 Workshop on Bidirectional Human-AI Alignment | Abstract: ,no-doi,no-doi,no,yes,,no,
P120,P01_0425,Automatic Construction Method for Ideological and Political Teaching Cases Based on Educational Large Models Enhanced by Chain-of-Thought Reasoning,"Han, C.",2026,10.1145/3802133.3802212,,3,,RQ: Automatic Construction Method for Ideological and Political Teaching Cases Based on Educational Large Models Enhanced by Chain-of-Thought Re | Abstract: This study focuses on the application of large models in ideological and political education and proposes an automatic construction method for ideological and political teaching cases based on educational large models integrated with a chai,paywalled,paywalled,no,yes,,no,https://doi.org/10.1145/3802133.3802212
P1200,P01_2774,Causal Reward Adjustment: Mitigating Reward Hacking in External Reasoning via Backdoor Correction,"Song, RK; Song, Z; Guo, HJ; Qiang, WW",2026,,,5,,"RQ: Causal Reward Adjustment: Mitigating Reward Hacking in External Reasoning via Backdoor Correction | Abstract: External reasoning systems combine language models with process reward models (PRMs) to select high-quality reasoning paths for complex tasks such as mathematical problem solving. However, these systems are prone to reward hacking, where hi",no-doi,no-doi,no,yes,,no,
P1201,P01_2775,CONFUCIAN ETHICS AND AI ALIGNMENT,"Villaver, RB",2026,,,4,,"RQ: CONFUCIAN ETHICS AND AI ALIGNMENT | Abstract: The problem of AI alignment or AI value alignment is the problem of identifying which human value, principle, or ethics is the best with which Artificial Intelligence and Autonomous Systems (i.e., robots) should be designed. Among those tha",no-doi,no-doi,no,yes,,no,
P1202,P01_2776,Intrinsic Barriers and Practical Pathways for Human-AI Alignment: An Agreement-Based Complexity Analysis,"Nayebi, A",2026,,,5,,"RQ: Intrinsic Barriers and Practical Pathways for Human-AI Alignment: An Agreement-Based Complexity Analysis | Abstract: We formalize AI alignment as a multi-objective optimization problem called.M, N, e, d.-agreement, in which a set of N agents (including humans) must reach approximate (e) agreement acrossM candidate objectives, with probability at least 1 -",no-doi,no-doi,no,yes,,no,
P1203,P01_2777,Incomplete Contracting and Al Alignment,"Hadfield-Menell, D; Hadfield, GK",2019,,,5,,RQ: Incomplete Contracting and Al Alignment | Abstract: We suggest that the analysis of incomplete contracting developed by law and economics researchers can provide a useful framework for understanding the AI alignment problem and help to generate a systematic approach to finding solutions. We ,no-doi,no-doi,no,yes,,no,
P1204,P01_2778,Minding Motivation: The Effect of Intrinsic Motivation on Agent Behaviors,"Villalobos-Arias, L; Forbes, G; Wang, JX; Roberts, DL; Jhala, A",2025,,,4,,"RQ: Minding Motivation: The Effect of Intrinsic Motivation on Agent Behaviors | Abstract: Games are challenging for Reinforcement Learning (RL) agents due to their reward sparsity, as rewards are only obtainable after long sequences of deliberate actions. Intrinsic Motivation (IM) methods-which introduce exploration rewards-are ",no-doi,no-doi,no,yes,,no,
P1205,P01_2781,Empirical Evidence for Alignment Faking in a Small LLM and Prompt-Based Mitigation Techniques,"Koorndijk, J",2025,,,4,,"RQ: Empirical Evidence for Alignment Faking in a Small LLM and Prompt-Based Mitigation Techniques | Abstract: Current literature suggests that alignment faking is an emergent property of large language models. We present the first empirical evidence that a small instruction-tuned model, specifically LLaMA 3 8B, can also exhibit alignment faking.",no-doi,no-doi,no,yes,,no,
P1206,P01_2782,A Rolling Stone Gathers No Moss: Adaptive Policy Optimization for Stable Self-Evaluation in Large Multimodal Models,"Wang, WK; Guo, HC; Lv, ZQ; Zhang, SY",2026,,,4,,"RQ: A Rolling Stone Gathers No Moss: Adaptive Policy Optimization for Stable Self-Evaluation in Large Multimodal Models | Abstract: Self-evaluation, a model's ability to assess the correctness of its own output, is crucial for Large Multimodal Models (LMMs) to achieve self-improvement in multi-turn conversations, yet largely absent in foundation models. Recent work has ",no-doi,no-doi,no,yes,,no,
P1207,P01_2783,Regularized Best-of-N Sampling with Minimum Bayes Risk Objective for Language Model Alignment,"Jinnai, Y; Morimura, T; Ariu, K; Abe, K",2025,,,5,,RQ: Regularized Best-of-N Sampling with Minimum Bayes Risk Objective for Language Model Alignment | Abstract: Best-of-N (BoN) sampling with a reward model has been shown to be an effective strategy for aligning Large Language Models (LLMs) to human preferences at the time of decoding. BoN sampling is susceptible to a problem known as reward hacking,no-doi,retrieved-manual,yes,no,,no,
P1208,P01_2784,Step-GRPO: Enhancing Reasoning Quality and Efficiency via Structured PRM-Based Reinforcement Learning,"Li, WJ; Wang, J; Yu, LC; Zhang, XJ",2026,,,5,,"RQ: Step-GRPO: Enhancing Reasoning Quality and Efficiency via Structured PRM-Based Reinforcement Learning | Abstract: Large reasoning models (LRMs) improve performance at test time by thinking longer, but this often leads to overthinking and high computational cost. To address this, recent reinforcement learning (RL) methods adopt mechanical outcome-level ",no-doi,no-doi,no,yes,,no,
P1209,P01_2785,Multi-Metric Preference Alignment for Generative Speech Restoration,"Zhang, JN; Zhang, XY; Yang, J; Wang, YC; Fan, F; Wu, ZZ",2026,,,4,,"RQ: Multi-Metric Preference Alignment for Generative Speech Restoration | Abstract: Recent generative models have significantly advanced speech restoration tasks, yet their training objectives often misalign with human perceptual preferences, resulting in suboptimal quality. While post-training alignment has proven effecti",no-doi,no-doi,no,yes,P084,no,
P121,P01_0426,Toward a relational paradigm for AI safety: relational synchrony in the heart-inspired dual-layer architecture (HIDLA),"Ono, M.",2026,10.1007/s00146-026-03009-6,,3,,"RQ: Toward a relational paradigm for AI safety: relational synchrony in the heart-inspired dual-layer architecture (HIDLA) | Abstract: AI systems are increasingly deployed for companionship, care, and assistance; however, current architectures remain insufficient for sustaining relational synchrony with humans. Existing safety frameworks, focused on computational constrain",paywalled,paywalled,no,yes,,no,https://doi.org/10.1007/s00146-026-03009-6
P1210,P01_2786,ARTIFICIAL INTELLIGENCE CALLS FOR INNER ALIGNMENT (AI FOR IA),"Köster, K; Kreppel, AU",2021,,,3,,RQ: ARTIFICIAL INTELLIGENCE CALLS FOR INNER ALIGNMENT (AI FOR IA) | Abstract: ,no-doi,no-doi,no,yes,,no,
P1211,P01_2788,Logic in Machine Morality,"Slavkovik, M",2026,,,3,,"RQ: Logic in Machine Morality | Abstract: This extended abstract summaries the main points of my recent work in machine ethics. The intention with this discussion is to argue that in the field of machine ethics, and the broader field of AI alignment, logic reasoning is a necessary ",no-doi,no-doi,no,yes,,no,
P1212,P01_2789,Specification-Guided Reinforcement Learning,"Ambadkar, T",2026,,,4,,"RQ: Specification-Guided Reinforcement Learning | Abstract: While Reinforcement Learning (RL) has demonstrated remarkable success in solving complex sequential decision-making problems, its application in real-world, safety-critical systems is hindered by its reliance on carefully engineered reward ",no-doi,no-doi,no,yes,,no,
P1213,P01_2790,Meta Learning for Image Captioning,"Li, NN; Chen, ZZ; Liu, S",2019,,,4,,"RQ: Meta Learning for Image Captioning | Abstract: Reinforcement learning (RL) has shown its advantages in image captioning by optimizing the non-differentiable metric directly in the reward learning process. However, due to the reward hacking problem in RL, maximizing reward may not lead t",no-doi,no-doi,no,yes,,no,
P1214,P01_2791,"Decolonial AI Alignment: Openness, Visesa-Dharma, and Including Excluded Knowledges","Varshney, KR",2024,,,3,,"RQ: Decolonial AI Alignment: Openness, Visesa-Dharma, and Including Excluded Knowledges | Abstract: Prior work has explicated the coloniality of artificial intelligence (AI) development and deployment through mechanisms such as extractivism, automation, sociological essentialism, surveillance, and containment. However, that work has not e",no-doi,no-doi,no,yes,,no,
P1215,P01_2792,ME: Modelling Ethical Values for Value Alignment,"Rigley, E; Chapman, A; Evers, C; Mcneill, W",2025,,,4,,"RQ: ME: Modelling Ethical Values for Value Alignment | Abstract: Value alignment, at the intersection of moral philosophy and AI safety, is dedicated to ensuring that artificially intelligent (AI) systems align with a certain set of values. One challenge facing value alignment researchers is accurately t",no-doi,no-doi,no,yes,,no,
P1216,P01_2793,Uncovering the Impact of Chain-of-Thought Reasoning for Direct Preference Optimization: Lessons from Text-to-SQL,"Liu, HB; Li, HY; Zhang, XK; Chen, RT; Xu, HY; Tian, T; Qi, Q; Zhang, J",2025,,,4,,"RQ: Uncovering the Impact of Chain-of-Thought Reasoning for Direct Preference Optimization: Lessons from Text-to-SQL | Abstract: Direct Preference Optimization (DPO) has proven effective in complex reasoning tasks like math word problems and code generation. However, when applied to Text-to-SQL datasets, it often fails to improve performance and can even degrade it.",no-doi,no-doi,no,yes,,no,
P1217,P01_2794,Belief-Driven Value Alignment for Human-Robot Collaboration,"Li, SS; Shi, B; Xia, YM; Su, X",2026,,,4,,"RQ: Belief-Driven Value Alignment for Human-Robot Collaboration | Abstract: As intelligent systems advance rapidly, human-robot collaboration is becoming increasingly important. Ensuring that the intelligent agent ' s behaviors match human intentions and value preferences is crucial for effective collaboration, whi",no-doi,no-doi,no,yes,P016,no,
P1218,P01_2795,AlphaVerus: Bootstrapping Formally Verified Code Generation through Self-Improving Translation and Treefinement,"Aggarwal, P; Parno, B; Welleck, S",2025,,,4,,"RQ: AlphaVerus: Bootstrapping Formally Verified Code Generation through Self-Improving Translation and Treefinement | Abstract: Automated code generation with large language models has gained significant traction, but there remains no guarantee of the correctness of generated code. We aim to use formal verification to provide mathematical guarantees that the generat",no-doi,no-doi,no,yes,,no,
P1219,P01_2797,TreeRL: LLM Reinforcement Learning with On-Policy Tree Search,"Hou, ZY; Hu, ZN; Li, YJ; Lu, R; Tang, J; Dong, YX",2025,,,4,,"RQ: TreeRL: LLM Reinforcement Learning with On-Policy Tree Search | Abstract: Reinforcement learning (RL) with tree search has demonstrated superior performance in traditional reasoning tasks. Compared to conventional independent chain sampling strategies with outcome supervision, tree search enables better explorati",no-doi,no-doi,no,yes,,no,
P122,P01_0428,On the Troubled Relation Between AI Ethics and AI Safety,"Häggström, O.",2026,10.1002/9781394258840.ch20,,3,,"RQ: On the Troubled Relation Between AI Ethics and AI Safety | Abstract: The terms “AI ethics” and “AI safety” are fuzzy around the edges and overlap, but roughly speaking the former addresses the more incremental and contextual effects of present-day AI, while the latter puts more emphasis on transformative con",paywalled,paywalled,no,yes,,no,https://doi.org/10.1002/9781394258840.ch20
