study_id,id,title,year,venue,architectures,benchmarks,seeds_runs
S151,P02_0811,Systematic Generalization with Edge Transformers,2021,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; GNN; VAE/AE,COGS; CFQ; Math/MW; Vision,10
S152,P02_0812,Compositional Generalization from First Principles,2023,arXiv:primary,Transformer-family; RNN-family; CNN; GNN; RL-agent; VAE/AE,Math/MW,5
S153,P02_0813,Improving Compositional Generalization in Semantic Parsing,2020,arXiv:primary,Transformer-family; RNN-family,SCAN; gSCAN; CLOSURE; Vision; NLP-OOD,
S154,P02_0814,A Survey on Compositional Generalization in Applications,2023,arXiv:primary,Transformer-family; RNN-family; GNN; RL-agent; VAE/AE,SCAN; COGS; Math/MW,
S155,P02_0815,Composition-Incremental Learning for Compositional Generalization,2025,arXiv:primary,Transformer-family; RL-agent; VAE/AE,Vision,
S156,P02_0816,Toward Compositional Generalization in Object-Oriented World Modeling,2022,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; GNN; RL-agent; VAE/AE,CLOSURE; Math/MW; Vision,3
S157,P02_0817,On Evaluating Multilingual Compositional Generalization with Translated Datasets,2023,arXiv:primary,Transformer-family; RNN-family; MLP,SCAN; COGS; CFQ; Math/MW,
S158,P02_0818,Learning Algebraic Recombination for Compositional Generalization,2021,arXiv:primary,Transformer-family; RNN-family; RL-agent; VAE/AE,SCAN; COGS; CFQ,5
S159,P02_0819,Scalable Evaluation and Neural Models for Compositional Generalization,2025,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; GNN; VAE/AE; Diffusion,Vision; NLP-OOD,
S160,P02_0820,Improving Compositional Generalization in Math Word Problem Solving,2022,arXiv:primary,Transformer-family; RNN-family; RL-agent,COGS; CLOSURE; Math/MW; Vision; NLP-OOD,13
S161,P02_0821,Improving Compositional Generalization in Classification Tasks via Structure Annotations,2021,arXiv:primary,Transformer-family; RNN-family; RL-agent,SCAN; CFQ; Math/MW,
S162,P02_0822,Compositional Generalization with Tree Stack Memory Units,2019,arXiv:primary,Transformer-family; RNN-family; MLP; GNN,Math/MW; Vision,
S163,P02_0823,Reinforcement Learning for Compositional Generalization with Outcome-Level Optimization,2026,arXiv:primary,Transformer-family; RNN-family; RL-agent,SCAN; COGS; CFQ; Math/MW,
S164,P02_0824,Provable Compositional Generalization for Object-Centric Learning,2023,arXiv:primary,Transformer-family; CNN; RL-agent; VAE/AE,Math/MW,10
S165,P02_0825,A General Theory for Compositional Generalization,2024,arXiv:primary,Transformer-family; RNN-family; RL-agent,Math/MW,
S166,P02_0826,Disentangled Sequence to Sequence Learning for Compositional Generalization,2021,arXiv:primary,Transformer-family; RNN-family; MLP; VAE/AE,COGS; CFQ; Math/MW,3
S167,P02_0827,"Concepts, Properties and an Approach for Compositional Generalization",2021,arXiv:primary,Transformer-family; RNN-family; VAE/AE,none-detected,
S168,P02_0828,Consistency of Compositional Generalization across Multiple Levels,2024,arXiv:primary,Transformer-family; MLP,Vision,
S169,P02_0829,On Provable Length and Compositional Generalization,2024,arXiv:primary,Transformer-family; RNN-family; MLP; VAE/AE,COGS; CLOSURE; Math/MW,5
S170,P02_0830,On Compositional Generalization of Neural Machine Translation,2021,arXiv:primary,Transformer-family; RNN-family; CNN,SCAN; CFQ; Math/MW; Vision,
S171,P02_0831,DiNeR: a Large Realistic Dataset for Evaluating Compositional Generalization,2024,arXiv:primary,Transformer-family; RNN-family; GNN,SCAN; COGS; NLP-OOD,
S172,P02_0832,The Mystery of Compositional Generalization in Graph-based Generative Commonsense Reasoning,2024,arXiv:primary,Transformer-family; RNN-family; MLP,COGS; Math/MW,
S173,P02_0833,Simple and effective data augmentation for compositional generalization,2024,arXiv:primary,Transformer-family; RNN-family,SCAN; COGS; CFQ; PCFG; Math/MW,1
S174,P02_0834,Unobserved Local Structures Make Compositional Generalization Hard,2022,arXiv:primary,Transformer-family; RNN-family,SCAN; COGS; CLOSURE; Vision,
S175,P02_0836,"Compositional Generalization Requires Linear, Orthogonal Representations in Vision Embedding Models",2026,arXiv:primary,Transformer-family; RNN-family; VAE/AE; Diffusion,Math/MW; Vision; NLP-OOD,
S176,P02_0837,When and How Does CLIP Enable Domain and Compositional Generalization?,2025,arXiv:primary,Transformer-family; CNN; VAE/AE; Diffusion,Vision,
S177,P02_0838,When does compositional structure yield compositional generalization? A kernel theory,2024,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; GNN; VAE/AE,Math/MW; Vision,
S178,P02_0839,Syntax-Guided Transformers: Elevating Compositional Generalization and Grounding in Multimodal Environments,2023,arXiv:primary,Transformer-family; RNN-family; CNN; GNN; VAE/AE,SCAN; COGS; CFQ; gSCAN; Math/MW,
S179,P02_0840,Diverse Demonstrations Improve In-context Compositional Generalization,2022,arXiv:primary,Transformer-family; RNN-family,none-detected,3
S180,P02_0841,Exploring the Compositional Generalization in Context Dependent Text-to-SQL Parsing,2023,arXiv:primary,Transformer-family; RNN-family; GNN,SCAN; CFQ; PCFG; Math/MW,
S181,P02_0842,Improving Compositional Generalization Using Iterated Learning and Simplicial Embeddings,2023,arXiv:primary,Transformer-family; RNN-family; CNN; GNN; RL-agent; VAE/AE,Math/MW; Vision,5
S182,P02_0843,Towards Compositional Generalization of LLMs via Skill Taxonomy Guided Data Synthesis,2026,arXiv:primary,Transformer-family; RNN-family; RL-agent; Diffusion,Math/MW; NLP-OOD; Tabular,
S183,P02_0845,Are Object-Centric Representations Better At Compositional Generalization?,2026,arXiv:primary,Transformer-family; RNN-family; MLP; RL-agent; Diffusion,Vision; NLP-OOD,
S184,P02_0847,A Short Survey of Systematic Generalization,2022,arXiv:primary,Transformer-family; RNN-family; CNN; GNN; RL-agent; VAE/AE; Diffusion,SCAN; COGS; CFQ; gSCAN; PCFG; CLOSURE; Math/MW; Vision; OOD-CV; NLP-OOD,
S185,P02_0848,Compositional Generalization for Multi-label Text Classification: A Data-Augmentation Approach,2023,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; GNN; VAE/AE,NLP-OOD,
S186,P02_0849,Exploring Continual Learning of Compositional Generalization in NLI,2024,arXiv:primary,Transformer-family; CNN,Math/MW; NLU-bench,
S187,P02_0850,Layer-wise Representation Fusion for Compositional Generalization,2023,arXiv:primary,Transformer-family; RNN-family; MLP,SCAN; CFQ,
S188,P02_0851,Block-Operations: Using Modular Routing to Improve Compositional Generalization,2024,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; GNN,Math/MW; Vision,
S189,P02_0852,Local Mechanisms of Compositional Generalization in Conditional Diffusion,2025,arXiv:primary,Transformer-family; CNN; GNN; VAE/AE; Diffusion,Math/MW; Vision,10
S190,P02_0853,A Theoretical Analysis of Compositional Generalization in Neural Networks: A Necessary and Sufficient Condition,2025,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; RL-agent; VAE/AE,SCAN; COGS; Math/MW; NLP-OOD,
S191,P02_0854,The Role of Linguistic Priors in Measuring Compositional Generalization of Vision-Language Models,2023,arXiv:primary,Transformer-family; RNN-family; GNN; Diffusion,SCAN; COGS; Vision; NLP-OOD,
S192,P02_0855,Compositional Generalization and Natural Language Variation: Can a Semantic Parsing Approach Handle Both?,2020,arXiv:primary,Transformer-family; RNN-family; MLP,SCAN; COGS; CFQ; CLOSURE; Math/MW,3
S193,P02_0856,Enhancing Compositional Generalization via Compositional Feature Alignment,2024,arXiv:primary,Transformer-family; CNN; GNN; VAE/AE,Math/MW; Vision; OOD-CV; NLP-OOD,3
S194,P02_0857,Evaluating Morphological Compositional Generalization in Large Language Models,2024,arXiv:primary,Transformer-family; RNN-family,COGS; NLP-OOD,
S195,P02_0858,Evaluating the Impact of Model Scale for Compositional Generalization in Semantic Parsing,2022,arXiv:primary,Transformer-family; RNN-family,COGS; CFQ,
S196,P02_0859,Real-World Compositional Generalization with Disentangled Sequence-to-Sequence Learning,2022,arXiv:primary,Transformer-family; RNN-family; MLP,SCAN; COGS; CFQ,
S197,P02_0861,Improving Compositional Generalization with Latent Structure and Data Augmentation,2021,arXiv:primary,Transformer-family; RNN-family,SCAN; COGS; CFQ; PCFG; Math/MW,3
S198,P02_0862,Compositional Generalization in Image Captioning,2019,arXiv:primary,Transformer-family; RNN-family; CNN; GNN; VAE/AE,COGS; Vision,
S199,P02_0863,Can LLM find the green circle? Investigation and Human-guided tool manipulation for compositional generalization,2023,arXiv:primary,Transformer-family; RNN-family; GNN,COGS; gSCAN,
S200,P02_0864,Multi-Sourced Compositional Generalization in Visual Question Answering,2025,arXiv:primary,Transformer-family; RNN-family; CNN,Vision; NLP-OOD,
S201,P02_0865,Analyzing the Inner Workings of Transformers in Compositional Generalization,2025,arXiv:primary,Transformer-family; RNN-family; MLP,COGS; PCFG; SLOG; NLP-OOD,
S202,P02_0866,Improving Systematic Generalization Through Modularity and Augmentation,2022,arXiv:primary,Transformer-family; RNN-family; MLP,SCAN; COGS; gSCAN; Math/MW; Vision,5
S203,P02_0867,NeSyCoCo: A Neuro-Symbolic Concept Composer for Compositional Generalization,2024,arXiv:primary,Transformer-family; CNN,gSCAN; Math/MW; NLU-bench; Vision,
S204,P02_0868,Compositional Generalization via Forced Rendering of Disentangled Latents,2025,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; VAE/AE; Diffusion,Math/MW; Vision; Tabular,
S205,P02_0869,ChatGPT as Data Augmentation for Compositional Generalization: A Case Study in Open Intent Detection,2023,arXiv:primary,Transformer-family; CNN,Vision,10
S206,P02_0870,The Impact of Depth on Compositional Generalization in Transformer Language Models,2023,arXiv:primary,Transformer-family; RNN-family; MLP,COGS,5
S207,P02_0871,Compositional Generalization Across Distributional Shifts with Sparse Tree Operations,2024,arXiv:primary,Transformer-family; RNN-family; MLP; GNN,SCAN; COGS; SLOG; Math/MW,5
S208,P02_0872,Compositional generalization through abstract representations in human and artificial neural networks,2022,arXiv:primary,Transformer-family; RNN-family; MLP; GNN; RL-agent; VAE/AE,SCAN; Math/MW,
S209,P02_0873,Systematic Generalization in Language Models Scales with Information Entropy,2025,arXiv:primary,Transformer-family; RNN-family; CNN; GNN,SCAN; PCFG; Math/MW,
S210,P02_0874,How Modular Should Neural Module Networks Be for Systematic Generalization?,2021,arXiv:primary,Transformer-family; RNN-family; CNN; MLP,CLOSURE; Vision; NLP-OOD,
S211,P02_0875,Pretraining Frequency Predicts Compositional Generalization of CLIP on Real-World Tasks,2025,arXiv:primary,Transformer-family; RNN-family; CNN; Diffusion,COGS; Math/MW; Vision; NLP-OOD,
S212,P02_0877,SPOR: A Comprehensive and Practical Evaluation Method for Compositional Generalization in Data-to-Text Generation,2024,arXiv:primary,Transformer-family; RNN-family; GNN,COGS; Math/MW,
S213,P02_0878,Neural-Symbolic Recursive Machine for Systematic Generalization,2022,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; RL-agent,SCAN; COGS; CFQ; PCFG; CLOSURE; Math/MW; Vision,5
S214,P02_0879,An explainable transformer circuit for compositional generalization,2025,arXiv:primary,Transformer-family; RNN-family; CNN; MLP,SCAN; Math/MW,
S215,P02_0880,Finding needles in a haystack: Sampling Structurally-diverse Training Sets from Synthetic Data for Compositional Generalization,2021,arXiv:primary,Transformer-family; RNN-family,COGS; CFQ; Tabular,5
S216,P02_0881,Revisiting Compositional Generalization Capability of Large Language Models Considering Instruction Following Ability,2025,arXiv:primary,Transformer-family; RNN-family; GNN; RL-agent,SLOG; Math/MW,192
S217,P02_0882,Differentiable Tree Operations Promote Compositional Generalization,2023,arXiv:primary,Transformer-family; RNN-family; MLP,COGS; Math/MW,
S218,P02_0883,Factorization Regret mediates compositional generalization in latent space,2026,arXiv:primary,Transformer-family; RNN-family; MLP; RL-agent; Diffusion,Math/MW,
S219,P02_0884,Counterfactual Recipe Generation: Exploring Compositional Generalization in a Realistic Scenario,2022,arXiv:primary,Transformer-family; RNN-family,COGS; Math/MW; Vision; NLP-OOD,
S220,P02_0885,Swing-by Dynamics in Concept Learning and Compositional Generalization,2024,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; Diffusion,Math/MW; Vision; NLP-OOD,
S221,P02_0887,ExeDec: Execution Decomposition for Compositional Generalization in Neural Program Synthesis,2023,arXiv:primary,Transformer-family; RNN-family; MLP; GNN,SCAN; COGS; CLOSURE; Math/MW; Vision,
S222,P02_0888,Compositional Generalization for Data-to-Text Generation,2023,arXiv:primary,Transformer-family; RNN-family; MLP; GNN; RL-agent,none-detected,
S223,P02_0889,What Drives Compositional Generalization? The Importance of Continuous Training Objectives in Visual Generative Models,2025,arXiv:primary,Transformer-family; CNN; MLP; VAE/AE; Diffusion,Math/MW; Vision; NLP-OOD,
S224,P02_0890,Compositional Generalization with Grounded Language Models,2024,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; GNN,COGS; Math/MW; Tabular,
S225,P02_0891,Scaling can lead to compositional generalization,2025,arXiv:primary,Transformer-family; RNN-family; MLP; Diffusion,Math/MW; NLP-OOD,
S226,P02_0892,Sequential Compositional Generalization in Multimodal Models,2024,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; GNN,SCAN; COGS; CFQ; CLOSURE; Math/MW; Vision; NLP-OOD,3
S227,P02_0893,Learning to Compose Representations of Different Encoder Layers towards Improving Compositional Generalization,2023,arXiv:primary,Transformer-family; RNN-family; MLP,SCAN; CFQ,6
S228,P02_0894,Systematic Generalization on gSCAN with Language Conditioned Embedding,2020,arXiv:primary,Transformer-family; RNN-family; CNN; GNN; RL-agent,SCAN; gSCAN; Math/MW; Vision; NLP-OOD,
S229,P02_0895,On a Built-in Conflict between Deep Learning and Systematic Generalization,2022,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; RL-agent; VAE/AE; Diffusion,Math/MW; Vision; NLP-OOD,
S230,P02_0898,What Do You Need for Compositional Generalization in Diffusion Planning?,2025,arXiv:primary,Transformer-family; RNN-family; CNN; RL-agent; Diffusion,Vision; Robotics/RL,50
S231,P02_0899,D3: Data Diversity Design for Systematic Generalization in Visual Question Answering,2023,arXiv:primary,Transformer-family; RNN-family; CNN; GNN,CFQ; CLOSURE; Vision; NLP-OOD,
S232,P02_0900,RoboHiMan: A Hierarchical Evaluation Paradigm for Compositional Generalization in Long-Horizon Manipulation,2025,arXiv:primary,Transformer-family; Diffusion,Vision,
S233,P02_0901,AGEL-Comp: A Neuro-Symbolic Framework for Compositional Generalization in Interactive Agents,2026,arXiv:primary,Transformer-family; RL-agent,Math/MW; Vision; NLP-OOD,
S234,P02_0902,ViLPAct: A Benchmark for Compositional Generalization on Multimodal Human Activities,2022,arXiv:primary,Transformer-family,none-detected,
S235,P02_0903,Policy Architectures for Compositional Generalization in Control,2022,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; GNN; RL-agent,none-detected,5
S236,P02_0904,Transformer Module Networks for Systematic Generalization in Visual Question Answering,2022,arXiv:primary,Transformer-family; RNN-family; CNN,CFQ; CLOSURE; Vision,
S237,P02_0906,Realistic Evaluation of Model Merging for Compositional Generalization,2024,arXiv:primary,Transformer-family; MLP; GNN; Diffusion,NLU-bench,
S238,P02_0907,Learning Algebraic Representation for Systematic Generalization in Abstract Reasoning,2021,arXiv:primary,RNN-family; CNN; MLP; RL-agent; VAE/AE,COGS; CLOSURE; Math/MW; Vision; NLP-OOD,
S239,P02_0908,From Reasoning Traces to Reusable Modules: Understanding Compositional Generalization in Language Model Reasoning,2026,arXiv:primary,Transformer-family; GNN; RL-agent; VAE/AE,CLOSURE; Math/MW,
S240,P02_0909,Systematic Generalization: What Is Required and Can It Be Learned?,2018,arXiv:primary,Transformer-family; RNN-family; CNN,SCAN; Vision,5
S241,P02_0910,Learning by Analogy: A Causal Framework for Composition Generalization,2025,arXiv:primary,Transformer-family; VAE/AE; Diffusion,Vision,
S242,P02_0912,Provably Efficient Causal Model-Based Reinforcement Learning for Systematic Generalization,2022,arXiv:primary,Transformer-family; RL-agent,Math/MW; Tabular,
S243,P02_0913,Compositional-ARC: Assessing Systematic Generalization in Abstract Spatial Reasoning,2025,arXiv:primary,Transformer-family; RNN-family; MLP; RL-agent; VAE/AE,SCAN; COGS; CFQ; CLOSURE; Math/MW; NLP-OOD,25
S244,P02_0914,Impact of Pretraining Word Co-occurrence on Compositional Generalization in Multimodal Models,2025,arXiv:primary,Transformer-family; Diffusion,Math/MW; Vision; NLP-OOD,
S245,P02_0915,Systematic Generalization in Neural Networks-based Multivariate Time Series Forecasting Models,2021,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; GNN; RL-agent; VAE/AE,Math/MW; Vision,
S246,P02_0917,Seen to Unseen: Exploring Compositional Generalization of Multi-Attribute Controllable Dialogue Generation,2023,arXiv:primary,Transformer-family; MLP,Math/MW; Vision,
S247,P02_0919,Latent Compositional Representations Improve Systematic Generalization in Grounded Question Answering,2020,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; GNN; VAE/AE,SCAN; gSCAN; CLOSURE; Vision,
S248,P02_0921,Measuring Systematic Generalization in Neural Proof Generation with Transformers,2020,arXiv:primary,Transformer-family; RNN-family; MLP,SCAN; CFQ; CLOSURE; Vision,
S249,P02_0922,Systematic Generalization on gSCAN: What is Nearly Solved and What is Next?,2021,arXiv:primary,Transformer-family; RNN-family; CNN; GNN,SCAN; gSCAN; CLOSURE; Vision,5
S250,P02_0924,COVR: A test-bed for Visually Grounded Compositional Generalization with real images,2021,arXiv:primary,Transformer-family; RNN-family; CNN,COGS; CLOSURE; NLU-bench; Vision; NLP-OOD,
S251,P02_0926,Revisit Systematic Generalization via Meaningful Learning,2020,arXiv:primary,Transformer-family; RNN-family; CNN; MLP,SCAN; COGS; Math/MW,
S252,P02_0927,ClassicLogic: A Knowledge-Driven Benchmark of Classic Puzzle Games for Evaluating Compositional Generalization,2026,arXiv:primary,Transformer-family; RNN-family; RL-agent,SCAN; COGS; CFQ; gSCAN; Math/MW; Vision; OOD-CV,
S253,P02_0928,HICO-DET-SG and V-COCO-SG: New Data Splits for Evaluating the Systematic Generalization Performance of Human-Object Interaction Detection Models,2023,arXiv:primary,Transformer-family; RNN-family; CNN; MLP,COGS; CLOSURE; Vision; NLP-OOD,
S254,P02_0929,"InternVLA-A1.5: Unifying Understanding, Latent Foresight, and Action for Compositional Generalization",2026,arXiv:primary,Transformer-family; GNN; VAE/AE; Diffusion,Vision,
S255,P02_0930,Rule Extrapolation in Language Models: A Study of Compositional Generalization on OOD Prompts,2024,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; GNN; VAE/AE,PCFG; Math/MW,5
S256,P02_0931,Language Plays a Pivotal Role in the Object-Attribute Compositional Generalization of CLIP,2024,arXiv:primary,Transformer-family; CNN,Vision,
S257,P02_0932,The Devil is in the Detail: Simple Tricks Improve Systematic Generalization of Transformers,2021,arXiv:primary,Transformer-family; RNN-family; MLP,SCAN; COGS; CFQ; PCFG; CLOSURE; Math/MW; Vision,5
S258,P02_0933,Inductive Biases for Zero-shot Systematic Generalization in Language-informed Reinforcement Learning,2025,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; RL-agent,gSCAN,
S259,P02_0934,Three approaches to facilitate DNN generalization to objects in out-of-distribution orientations and illuminations,2021,arXiv:primary,CNN; MLP; VAE/AE,Vision; NLP-OOD,
S260,P02_0935,Siamese recurrent networks learn first-order logic reasoning and exhibit zero-shot compositional generalization,2019,arXiv:primary,Transformer-family; RNN-family; GNN,Math/MW,
S261,P02_0936,"A Minimalist Dataset for Systematic Generalization of Perception, Syntax, and Semantics",2021,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; GNN,SCAN; COGS; CFQ; gSCAN; PCFG; CLOSURE; Math/MW; Vision,5
S262,P02_0937,CLOSURE: Assessing Systematic Generalization of CLEVR Models,2019,arXiv:primary,Transformer-family; RNN-family; CNN; MLP,SCAN; CLOSURE; Math/MW; Vision; Tabular,10
S263,P02_0938,Towards Systematic Generalization for Power Grid Optimization Problems,2026,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; GNN; RL-agent,Math/MW,
S264,P02_0939,Understanding out-of-distribution accuracies through quantifying difficulty of test samples,2022,arXiv:primary,Transformer-family; CNN; MLP,Vision; NLP-OOD,10
S265,P02_0940,SyGNS: A Systematic Generalization Testbed Based on Natural Language Semantics,2021,arXiv:primary,Transformer-family; RNN-family; GNN,SCAN; COGS; CFQ; NLU-bench; NLP-OOD,3
S266,P02_0941,Challenges in Generalization in Open Domain Question Answering,2021,arXiv:primary,Transformer-family; RNN-family,SCAN,
S267,P02_0942,Scale Up Strategically: Learning Compositional Generalization via Bias-Aware Evaluation and Data Collection for Robotic Manipulation,2026,arXiv:primary,Transformer-family; RNN-family; RL-agent,NLP-OOD,
S268,P02_0944,ORCHARD: A Benchmark For Measuring Systematic Generalization of Multi-Hierarchical Reasoning,2021,arXiv:primary,Transformer-family; RNN-family; VAE/AE,Math/MW,
S269,P02_0945,Atomic-to-Compositional Generalization for Mobile Agents with A New Benchmark and Scheduling System,2025,arXiv:primary,Transformer-family; RNN-family; GNN; RL-agent,none-detected,20
S270,P02_0946,ATOM-Bench: A Real-World Benchmark for Atomic Skills and Compositional Generalization in Manipulation Policies,2026,arXiv:primary,RL-agent,Vision,
S271,P02_0948,The Neural Data Router: Adaptive Control Flow in Transformers Improves Systematic Generalization,2021,arXiv:primary,Transformer-family; RNN-family; CNN; MLP; GNN; RL-agent,SCAN; CLOSURE; Math/MW; Vision; NLP-OOD,
S272,P02_0949,Compositional Generalization from Learned Skills via CoT Training: A Theoretical and Structural Analysis for Reasoning,2025,arXiv:primary,Transformer-family; RNN-family; RL-agent; Diffusion,Math/MW; NLP-OOD,3
S273,P02_0951,Systematic Generalization and Emergent Structures in Transformers Trained on Structured Tasks,2022,arXiv:primary,Transformer-family; RNN-family; MLP; GNN; RL-agent,Math/MW,
S274,P02_0956,Mixture Data for Training Cannot Ensure Out-of-distribution Generalization,2023,arXiv:primary,Transformer-family; CNN; RL-agent; VAE/AE,Math/MW; Vision; OOD-CV; Tabular,10
S275,P02_0957,Low-Frequency Shortcuts in Texture-Driven Visual Learning,2026,arXiv:primary,Transformer-family; CNN,SCAN; Vision; NLP-OOD,4
S276,P02_0959,What makes Models Compositional? A Theoretical View: With Supplement,2024,arXiv:primary,Transformer-family; RNN-family; CNN; GNN,SCAN; COGS; CFQ; Math/MW,
S277,P02_0962,Robust Subtask Learning for Compositional Generalization,2023,arXiv:primary,Transformer-family; RL-agent; VAE/AE,none-detected,10
S278,P02_0964,Compositional Generalization in Spoken Language Understanding,2023,arXiv:primary,Transformer-family; RNN-family; GNN,gSCAN; Vision,5
S279,P02_0965,Causal Structural Hypothesis Testing and Data Generation Models,2022,arXiv:primary,MLP; GNN; VAE/AE,NLP-OOD; Tabular,
S280,P02_0967,Adversarial Reward Auditing for Active Detection and Mitigation of Reward Hacking,2026,arXiv:safety,Transformer-family; MLP; GNN; RL-agent,none-detected,3
S281,P02_1159,Probing the Probes: Methods and Metrics for Concept Alignment,2025,arXiv:safety,Transformer-family; CNN; VAE/AE,Math/MW; Vision; NLP-OOD; Tabular,
S282,P02_1172,Learning to optimize: a primer and a benchmark,2022,ACM:F2,Transformer-family; RNN-family; CNN; MLP; GNN; RL-agent; VAE/AE; Diffusion,Math/MW; Vision,10
S283,P02_1308,Vision Transformer Neural Architecture Search for Out-of-Distribution Generalization: Benchmark and Insights,2024,Advances in Neural Information Processing Systems,Transformer-family; CNN; MLP; VAE/AE; Diffusion,Vision,
S284,P02_1381,Sparse Mixture-of-Experts for Compositional Generalization: Empirical Evidence and Theoretical Foundations of Optimal Sparsity,2026,Proceedings of Machine Learning Research,Transformer-family; MLP; GNN; VAE/AE; Diffusion,Math/MW,
S285,P02_1395,Compositional generalization by factorizing alignment and translation,2020,Proceedings of the Annual Meeting of the Association for Com,Transformer-family; RNN-family; CNN; MLP,SCAN; COGS; CLOSURE; Vision,25
S286,P02_1398,Neural Collapse Inspired Feature Alignment for Out-of-Distribution Generalization,2024,Advances in Neural Information Processing Systems,Transformer-family; CNN; GNN,Math/MW; Vision; OOD-CV,
